name,class,review_count,address,review_top3,background_image_url,cafe_menu
과일에 반하다 프루타 강동고덕점,"과일,주스전문점",19,서울 강동구 동남로81길 100 청강빌딩 101호,"['재료가 신선해요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230804_215%2F16911398819055VEdF_JPEG%2F%25C7%25C1%25B7%25E7%25C5%25B8_%25B0%25AD%25B5%25BF%25B0%25ED%25B4%25F6%25C1%25A1.jpg,"['프루타 과일도시락(1팩)', 'New) 프리미엄 세지 메론(300g)', 'New) 프리미엄 세지 메론(600g)', '특가) 달콤하고 촉촉한 태국골드망고(1개 컷팅)']"
브런치빈 명일점,브런치,999+,서울 강동구 양재대로 1625 7층 1호,"['음식이 맛있어요', '가성비가 좋아요', '매장이 넓어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231116_259%2F1700114650598XkgBa_JPEG%2FIMG_0799.jpeg,"['샘플러', '리코타 샐러드', '베리 프렌치 토스트', '스파이시 쉬림프 파스타']"
브랜뉴하이몬드,베이커리,999+,"서울 강동구 천호옛14길 11 브랜뉴하이몬드 1, 2층","['빵이 맛있어요', '커피가 맛있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190822_137%2F1566440777402zGTnx_JPEG%2F2Be8WFDonNXCiYqkS0s22v5s.jpg,"['산딸기바게트', '소금빵', '커스타드롤', '크림치즈 어니언베이글']"
썸머러너,"카페,디저트",127,서울 강동구 천호대로 989 1층 102호,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230515_114%2F1684154894667MRpzy_JPEG%2F31BC3C39-9735-49FB-9170-C83271E33130.jpeg,"['Berry bunny 포장불가', 'Matcha bunny 포장불가', 'JambonBagelSandwich', 'Truffle bagel sand']"
미드데이썬,케이크전문,833,서울 강동구 양재대로91나길 55,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220816_108%2F1660634472847bhJ7Q_JPEG%2F82A4E8BA-C603-49AF-B587-A49FEA00C55A.jpeg,['딸기수플레팬케이크']
헤르츠로그,카페,249,서울 강동구 천호옛길 57 연재빌딩 1층 101호,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221226_113%2F16720151655152NAvf_JPEG%2F7DA6EF6C-7014-41DB-AFBC-8C08841FE0B8.jpeg,"['헤르츠 에이드', '슈크림라떼', '아메리카노', '고르곤 졸라 치즈 크럼블']"
샬로우커피 올림픽공원점,"카페,디저트",67,서울 강동구 성안로 30 호원아트홀 1층 101호,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231127_110%2F1701061666255YrPQh_JPEG%2FIMG_8565.jpeg,"['아메리카노', '라떼', '바닐라 라떼', '아이스크림 라떼']"
스윗솔트,"카페,디저트",999+,서울 강동구 상암로 286,"['음식이 맛있어요', '주차하기 편해요', '매장이 넓어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201027_158%2F1603805055945Gjy8e_JPEG%2Fomg5MoaZBCj-5RXuwfiypI-7.jpeg.jpg,"['에그베네딕트', '수제 베이컨 치즈 버거', '명란크림파스타', '2인 브런치 세트 (배민 스페셜)(2~3인분)']"
라라브레드 길동점,베이커리,999+,서울 강동구 양재대로116길 13,"['빵이 맛있어요', '매장이 청결해요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200723_3%2F1595487539247f5yGG_JPEG%2FCWJ_I64YsUh_frYPAuWv6LPo.jpg,"['스테이크 크림리조또', '쉬림프 크림 파스타', '부채살 스테이크', '투움바 파스타']"
카페제이,"카페,디저트",606,서울 강동구 동남로82길 19,"['음료가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211020_95%2F1634734137274CPGTv_JPEG%2FzwZbVH64_Or7jtKtm46krhQQ.jpg,"['중독주의)잠봉뵈르', '말차, 그 자체(깔끔, 그 자체)(ICE ONLY)', '누적판매18,000개) 에그산도', '교토말차티라미수(1~2인분)']"
