name,class,review_count,address,review_top3,background_image_url,cafe_menu
37.5 가산 THE G NATION점,브런치,525,서울 금천구 범안로 1142 하우스디 더 스카이밸리2차 3층,"['음식이 맛있어요', '친절해요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231117_20%2F1700190332475fLrxB_JPEG%2FKakaoTalk_20231117_120007706.jpg,"['푸짐한 정통 미국식 브런치', '채끝 등심 스테이크(250g)', '명란 오일 파스타', '푸짐한 철판 토마토 오믈렛 라이스']"
레애케이크,케이크전문,126,서울 금천구 시흥대로73길 11 무지개상가 2층 205호,"['선물하기 좋아요', '친절해요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220213_238%2F1644714493732dLn8c_JPEG%2FDSCF2555.,"['레터링케이크(떡/쌀빵)', '플라워케이크(떡/쌀빵)', '숫자케이크(떡)', '보자기케이크(떡)']"
인크커피 가산점,"카페,디저트",999+,서울 금천구 가산디지털2로 127-20,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220503_74%2F1651541665010Nty4G_JPEG%2F278263225_1358172804607210_1751621262420110588_n.jpg,"['론 자카파 밀크', '럼배럴 아메리카노', '럼배럴 카페라떼', '럼배럴 크림커피']"
코티,"카페,디저트",50,서울 금천구 가산디지털2로 95 118호,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230524_93%2F1684915683590ndKV7_JPEG%2F%25B2%25D9%25B9%25CC%25B1%25E212KakaoTalk_20230509_124108158_03.jpg,"['[패스오더전용] 100원 아메리카노', '크로아상 아몬드', '크로아상 대파치즈', '코티 리코타 토스트(무화과)']"
이에노,카페,286,서울 금천구 가산디지털2로 101 1층 120호,"['친절해요', '디저트가 맛있어요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230902_290%2F16936171784493iv8H_PNG%2F%25C0%25CC%25BF%25A1%25B3%25EB%25B0%25A3%25C6%25C7.png,"['잠봉', '플레인', '에브리띵', '솔트브레첼']"
도넛 인사이드 도넛,"카페,디저트",885,서울 금천구 시흥대로141길 81 1층 도넛 인사이드 도넛,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220415_32%2F1650019208699NB2MX_JPEG%2F1649986694754-1.jpg,"['DD_크림브렐레', 'DD_코코넛우유', 'DD_라즈베리(0)', 'DD_말차']"
우뺑,베이커리,936,서울 금천구 벚꽃로56길 182 104호,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190330_134%2F155392060375270Ge2_JPEG%2F0NBtDBLd5bwZW73vHB_HEOKM.jpg,"['크루아상', '얼그레이 크루아상', '에그타르트', '라우겐 크루아상']"
카페독산,"카페,디저트",175,서울 금천구 범안로9길 23,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210821_39%2F1629517433960orpX7_JPEG%2FRPQpwLjvzPYmDJtYKg3z2mnL.jpeg.jpg,"['독산커피', '바리스타의 라떼', '자두 유자 에이드', '패션후르츠 한라봉 에이드']"
파더스베이글 가산디지털단지점,카페,154,서울 금천구 가산디지털2로 101 1층 101호,"['특별한 메뉴가 있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230825_83%2F1692938727289eJzDn_JPEG%2F%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F8.jpg,"['소고기버섯 샌드위치', '단호박 샌드위치', '베이컨 샌드위치', '연어 샌드위치']"
카페구움,"카페,디저트",579,서울 금천구 시흥대로 315 2층 212호 (롯데마트건물아닙니다!),"['디저트가 맛있어요', '커피가 맛있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220617_263%2F1655474207691PfJcr_JPEG%2FP1055350-2.jpg,"['상하목장 유기농 아이스크림', '에그타르트', '아메리카노', '마카롱']"
스타벅스 가산디지털단지역점,카페,999+,서울 금천구 벚꽃로 298,"['커피가 맛있어요', '친절해요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,"['토피 넛 라떼', '토피 넛 팡도르', '별의 별 샌드위치', '스타벅스 딸기 라떼']"
쑥국당,"카페,디저트",255,서울 금천구 독산로108길 31 늘품 102호,"['친절해요', '특별한 메뉴가 있어요', '빵이 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230704_276%2F1688459814015IiuhC_JPEG%2F20230703_112826.jpg,['쿠키']
힛더스팟 베이커리 에이트,베이커리,450,서울 금천구 가산로 145 1층 101호,"['빵이 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220422_239%2F1650609407621VLhvN_JPEG%2F1_%25281%2529.jpg,"['햄치즈 파니니', '베리 프렌치 토스트', '무화과파운드', '월넛 브리오슈']"
