name,class,review_count,address,review_top3,background_image_url,cafe_menu
브런힐,브런치,843,서울 노원구 중계로8길 48 1층,"['음식이 맛있어요', '인테리어가 멋져요', '매장이 넓어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230607_86%2F1686088173223O0Brf_JPEG%2F230606_%25BA%25EA%25B7%25B1%25C8%25FA01.jpg,"['브런힐 브런치 플래터', '왕새우 로제 스파게티', '브런힐 찹 스테이크', '트러플오일 버섯크림 뇨끼']"
단디스터디카페 노원역점,스터디카페,57,서울 노원구 동일로 1365 랑은빌딩 6층 전체,"['집중하기 좋아요', '차분한 분위기에요', '좌석이 편해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220516_191%2F1652699737390P98jg_JPEG%2F1652674195101-2.jpg,"['일일이용권 2시간', '일일이용권 3시간', '일일이용권 4시간', '일일이용권 6시간']"
에이프릴사워,"카페,디저트",393,서울 노원구 동일로184길 63-15 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231005_74%2F1696467385578uA5OV_JPEG%2Ftemp_file.jpg,"['에이프릴 선셋티', '오션라떼', '자두펄그린티', '딸기라떼']"
메트로폴리스,베이커리,999+,서울 노원구 동일로178길 11-9 1층,"['빵이 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221231_5%2F167243878246663Ywi_PNG%2FKakaoTalk_20220611_155114707.png,"['베이커리', '소금빵', '에그타르트', '크로와상']"
라라브레드 공릉점,베이커리,999+,서울 노원구 공릉로41길 32,"['빵이 맛있어요', '디저트가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190410_212%2F1554870778439DWFM5_JPEG%2FpkYFd2V-Mi481kN4h5OkFkzW.JPG.jpg,"['통베이컨 토마토 파스타', '쉬림프 크림 파스타', '부채살 스테이크', '투움바 파스타']"
쿠방플러스,"카페,디저트",999+,서울 노원구 노원로26길 39 덕산빌딩 1층,"['친절해요', '매장이 청결해요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230706_124%2F1688632603266oF7C6_JPEG%2FKakaoTalk_20230705_151221114_03.jpg,"['[홈베이킹]레터링 케이크 만들기 키트-1호', '데코재료(매장에서 결제)', '생크림 추가(2000원~)', '[홈베이킹]칼라쿠키 만들기 키트']"
호이폴로이커피로스터스,"카페,디저트",906,서울 노원구 동일로186길 64 상가,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190808_106%2F1565193631014gJl1W_JPEG%2F7kzw4cJETpAbonWWw_ybq-l9.jpg,"['필터커피(ice아메리카노)', '카페라떼', '핸드드립', '배치브루커피']"
시즌,"카페,디저트",999+,서울 노원구 상계로3길 38-2 2층,"['디저트가 맛있어요', '친절해요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210608_130%2F16231501873726rtC0_JPEG%2FVbpnuuNjBbrdhujHjC8zt0F2.jpeg.jpg,"['아메리카노', '아인슈페너', '패션후르츠에이드', '레몬에이드']"
도니블랑,베이커리,71,서울 노원구 상계로3길 38-8 동양빌딩 1층,"['빵이 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231120_10%2F17004531242049LbY4_JPEG%2FKakaoTalk_20231119_194916155.jpg,"['치즈슈크레', '슈플레 치즈케이크', '칼라마타 올리브 스틱', '뺑오쇼콜라']"
숨케이크카페,"카페,디저트",344,"서울 노원구 상계로1길 62-20 1,2,4층","['인테리어가 멋져요', '디저트가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230817_107%2F1692257997886Q32e2_JPEG%2FKakaoTalk_20230817_155304610_05.jpg,['쁘띠케이크']
물레,카페,999+,서울 노원구 노해로81길 12-20,"['인테리어가 멋져요', '커피가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200611_278%2F1591858707613W0RAq_JPEG%2FE4Lk5dUJJveHkQ19oikk6aZX.jpeg.jpg,"['시그니쳐 물레', '아메리카노', '카페라떼', '시그니쳐 물']"
리브인오후,베이커리,523,서울 노원구 동일로178길 39-30 1층 리브인오후,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231129_254%2F1701211544134eMs8q_JPEG%2FIMG_3395.jpeg,"['구황작물 치즈 케이크', '뽀또 치즈 케이크']"
블루마일스커피로스터즈,카페,999+,서울 노원구 동일로190길 65 2층,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231123_155%2F1700705011940rpG8n_JPEG%2FKakaoTalk_20231123_105839506_01.jpg,"['더블에스프레소', '카페라떼', '필터커피', '에스프레소듀엣']"
던모스,"카페,디저트",999+,서울 노원구 공릉로27길 8 1층 2층,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180214_84%2F1518574924194oyv5t_JPEG%2FdcJoOnHGy4gTazwRz5TEHzcY.jpg,"['쿠키', '마들렌', '치즈케이크', '망고 패션후르츠 에이드']"
리프노즈드아쉬지,"카페,디저트",470,서울 노원구 동일로178길 11-13 리프노즈드아쉬지,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221004_163%2F1664853380717xCCLF_JPEG%2F20220815_113029.jpg,"['시즌갸또', '까눌레', '피낭시에', '마들렌']"
샹드마르스커피 공릉점,"카페,디저트",999+,"서울 노원구 공릉로37길 23 4층, 5층, 루프탑","['커피가 맛있어요', '디저트가 맛있어요', '뷰가 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220808_195%2F1659884979409SFdeM_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5.jpeg-361.jpg,"['필터드립', '애프터눈티세트 2단 *판매종료', '생크림 크레이프', '블랙포레스트 케이크']"
투썸플레이스 상계사거리점,카페,999+,서울 노원구 동일로 1374 미산빌딩 2층,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231113_197%2F1699885775295E06R0_JPEG%2F20231113_230822.jpg,"['쟈스민 시트러스 티', '윈터 페이버릿 하이볼', '윈터 페이버릿 뱅쇼', '카페 에그노그']"
스윗레시피,"카페,디저트",999+,서울 노원구 상계로1길 38 2층 스윗레시피,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230226_227%2F1677387474262g5izD_JPEG%2F60E77603-E136-43CC-A989-CBF8ECBA5603.jpeg,"['메리베리', '초코베리퐁당', '청무화과타르트', '무화과피스타치오케이크']"
감각,카페,999+,서울 노원구 상계로 77,"['인테리어가 멋져요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190415_181%2F1555309175080KVYhM_PNG%2FciKhp_T7dIPibA10B4TCl18E.png,"['스페셜커피', '수플레', '스페셜티']"
샛별제과,케이크전문,390,서울 노원구 상계로9길 23 1층 샛별제과,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzExMjBfMjY4%2FMDAxNzAwNDA4ODc1MDA1.Z2h2drb6eHJ0f2LprPV_BOjIXlRNjA7gAck70MfTztQg.rrgAcJnl7o2uO8Gk3-xYeo6cYlq1vzUNIDZpqcUDEpYg.JPEG.gaogiger123%2FKakaoTalk_20231119_190006435_15.jpg,"['레터링케이크/디자인케이크', '다쿠아즈', '케이크', '복숭아티라미수']"
트위그 페스츄리,베이커리,97,서울 노원구 동일로182길 50 1층,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221228_23%2F1672218306200GqHrX_JPEG%2FDEEB7F14-9526-417A-9624-0BEE0808B354.jpeg,"['얼그레이(HOT/ICE)', '레몬마테(HOT/ICE)', '캐모마일(HOT/ICE)', '카페라떼(ICE)']"
백오얏,카페,233,서울 노원구 상계로1길 8 2층 202호,"['친절해요', '디저트가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230430_88%2F168278223971133vBB_JPEG%2F20230427_141632.jpg,"['수제그릭요거트', '얼그레이 화이트 타르트', '갸또 쇼콜라 타르트', '순우유 생크림 케이크']"
빈키스 중계브라운스톤점,"카페,디저트",419,서울 노원구 동일로203가길 29 2층 212호,"['커피가 맛있어요', '음료가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230926_86%2F1695717918446n6Jku_JPEG%2FC306B24B-6B56-4870-8620-16733EA1D995.jpeg,"['아메리카노', '콜드브루 아메리카노', '바닐라빈라떼', '카페라떼']"
스위팅스 아틀리에,케이크전문,103,서울 노원구 한글비석로52길 42 2층,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231117_122%2F1700160021294EIxRY_JPEG%2FInsst_2301014_16.jpg,"['앙금플라워용돈케이크', '앙금플라워 원형케이크 금액안내']"
moodshare,"카페,디저트",999+,서울 노원구 공릉로 119-23 더하우스 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231125_212%2F1700916241924cK5NC_JPEG%2FKakaoTalk_20231125_214244076_10.jpg,"['카라멜아인슈패너', '크림얼그레이']"
오누이,"카페,디저트",601,서울 노원구 동일로187길 12-47,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220412_5%2F1649735523686h9OQ0_JPEG%2FD356C3D7-CB90-4328-AD07-1EC0CC49BFDB.jpeg,"['수제요거트', '수제그릭요거트', '그릭후르츠산도']"
