name,class,review_count,address,review_top3,background_image_url,cafe_menu
누메로755,브런치,220,서울 도봉구 도봉로125길 39 1층 2층,"['친절해요', '음식이 맛있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220928_131%2F1664342131047cFWlN_JPEG%2FKakaoTalk_20220928_141445468.jpg,"['연어 아보카도 콥 샐러드', '스테이크 샐러드', '리코타 치즈 샐러드', '에그 인 헬']"
프롬더하트,케이크전문,19,서울 도봉구 마들로 650 도봉월드상가 2층 217-1호,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230828_245%2F1693194139104il2aO_JPEG%2F20230717_140950.jpg,[]
몽상가 크레이프,크레페,983,서울 도봉구 도봉로143길 30 1층,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181102_203%2F1541161675951IteUz_JPEG%2F%25B8%25F9%25BB%25F3%25B0%25A1_naver.jpg,"['7 후르츠 생크림', '15 바나나오레오 커스터드', '1 크렘 브륄레', '3 후르츠 크렘브륄레']"
엘리지앙 베이커리 카페,"카페,디저트",178,서울 도봉구 노해로 271 3층 엘리지앙 베이커리 카페,"['빵이 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231103_172%2F1698968043924Vd2TD_JPEG%2F%25C4%25BF%25C7%25C7%25C0%25CE%25C5%25D7%25B8%25AE%25BE%25EE1.jpg,"['아메리카노', '카페라떼', '카페모카', '바닐라라떼']"
도봉관,"카페,디저트",999+,서울 도봉구 노해로 261,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230722_16%2F1690006785366OY3jD_JPEG%2FIMG_3084.jpeg,"['오리지널 바스크치즈케이크', '블루베리 바스크치즈케이크 (신메뉴!)', '쿠앤크 바스크치즈케이크 (신메뉴!)', '딸기 바스크치즈케이크 (신메뉴!)']"
원더베이글하우스,베이글,87,서울 도봉구 도봉로110길 55 1층,"['빵이 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230817_2%2F16922435408478r2mb_JPEG%2F1692243441149.jpg,"['쪽파 크림치즈 베이첼', '소금 베이글', '감자 치즈 옥수수 베이글', '참깨 브릭 레인']"
퍼스트커피랩 쌍문점,"카페,디저트",99,서울 도봉구 노해로41나길 49 1층 상가,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_207%2F1696930578384TjI44_JPEG%2FKakaoTalk_20231010_183515962.jpg,['아메리카노']
카페 세이지,"카페,디저트",196,서울 도봉구 해등로 241-55 2층,"['커피가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221031_276%2F1667220611415m9BBN_JPEG%2FKakaoTalk_20221031_214912612_07.jpg,"['시나몬 크림 라떼', '스 콘', '휘낭시에', '라벤더 라떼']"
글림,베이커리,999+,서울 도봉구 도봉로118길 6-8 1층2층,"['빵이 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221124_190%2F1669275471504KzHII_JPEG%2FIMG_2468.jpeg,"['바게트 샌드위치', '앙버터', '시나몬몽블랑', '크럼블쿠키']"
카페152길,"카페,디저트",999+,서울 도봉구 도봉로152길 29-3 카페152길,"['빵이 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230907_203%2F1694065491839O1ibs_JPEG%2Ftemp_file.jpg,"['슈톨렌', '달콤핑크딸기케이크', '황금향 케이크', '생크림케이크']"
