name,class,review_count,address,review_top3,background_image_url,cafe_menu
요아반,아이스크림,21,서울 동대문구 회기로21길 9 지층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231104_275%2F1699036852962MXAKE_JPEG%2F1000012839.jpg,['메뉴판 !']
미뉴엣,카페,132,서울 동대문구 망우로 19 1층 미뉴엣,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231124_82%2F1700794069114RxtLL_JPEG%2F1700794053935.jpg,"['샌드위치+샐러드+아메리카노', '크로아상', '소세지치즈 페스츄리', '블루베리&크림치즈 데니쉬']"
READSTREET COFFEE,"카페,디저트",999+,서울 동대문구 회기로 166 KB빌딩 리드스트리트 커피,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230912_179%2F1694481493110VN2aB_JPEG%2FIMG_3972.jpeg,"['RSC 피넛크림라떼', 'RSC 밀크티크림 라떼', '아메리카노', '아메리카노 디카페인']"
풍밀,베이커리,447,서울 동대문구 고산자로34길 70 A동 104호,"['빵이 맛있어요', '친절해요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231109_73%2F1699519137683hPn4Q_JPEG%2F%25BF%25EC%25C0%25AF5.,"['우유식빵', '(signature)옥수수 식빵', '풍밀 소금빵', '햄치즈 샌드위치']"
스타벅스 경동1960점,카페,999+,서울 동대문구 고산자로36길 3,"['인테리어가 멋져요', '커피가 맛있어요', '사진이 잘 나와요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,"['토피 넛 라떼', '토피 넛 팡도르', '별의 별 샌드위치', '스타벅스 딸기 라떼']"
읍천리382 회기역점,카페,130,서울 동대문구 망우로 46 상가 401동 1101호,"['인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231006_155%2F1696569004816GHJXd_JPEG%2F1_%25B0%25A1%25B0%25D4_%25C0%25CC%25B9%25CC%25C1%25F6_%25281%2529.jpg,"['[판매율1위]미숫가루', '[할미큰손] 1L 아메리카노', '[샌드위치 정석] 햄치즈 샌드위치', '[피자의정석] 페퍼로니 와플피자']"
카페 청량,"카페,디저트",457,서울 동대문구 홍릉로3길 18 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230609_154%2F1686298375724nNypA_JPEG%2FKakaoTalk_20230510_162748850.jpg,"['1960 흑임자 갸또', '꿀 바나나 캐러멜 갸또 (강추)', '<시그니처> 바닐라젤라또라떼', '청량 쑥 갸또']"
8번가,카페,999+,서울 동대문구 경희대로3길 8 1층8번가카페,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190914_231%2F1568423449770iuwnI_JPEG%2FW-BC8UM0P2Fed11rZ5pJ9D8F.jpg,"['8번가 고래 커피', '8번가 고래 콜드브루', '에스프레소', '아메리카노']"
한시십일분,"카페,디저트",544,서울 동대문구 망우로 66 지하1층,"['인테리어가 멋져요', '디저트가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201108_44%2F1604825769003wuas7_JPEG%2FpYCTks08K356Srii-2Xan95-.jpeg.jpg,"['11분라떼', '11분 바닐라콜드브루', '아메리카노', '카페라떼']"
고소운,"카페,디저트",700,서울 동대문구 휘경로2길 4 지하 1층,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221229_77%2F1672297900325kKbql_JPEG%2F1671693813589.jpg,"['수플레치즈케익(크림치즈)', '수플레 치즈 케익 2종', '수플레치즈케익3종', '수플레치즈케익 포장 4종']"
