name,class,review_count,address,review_top3,background_image_url,cafe_menu
사이드테이블,"카페,디저트",999+,서울 마포구 동교로47길 3 B01호,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190507_249%2F15572186101408egpH_JPEG%2FfpK_GJyIWuZeef6U1RdxCAjh.jpg,"['Einspänner(아인슈페너)', '브라운치즈 크로플', '바질 페퍼 크로플', 'Matchaspänner(말차슈페너)']"
아이엠베이글 공덕점,브런치,999+,서울 마포구 백범로 152 101동 1층,"['음식이 맛있어요', '재료가 신선해요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230101_235%2F1672539438809FyCqE_JPEG%2F060FEB76-86C3-4533-B9A1-7B92C1E67DF3.jpg,"['사과잠봉에멘탈 샌드위치', '그라브락스 샌드위치', '크랜베리치킨 샌드위치', '플레인 베이글 세트']"
브레디포스트 연남,"카페,디저트",268,서울 마포구 연남로 8 1층,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231025_172%2F1698225900521i9cxE_JPEG%2F1.jpg,"['플레인 프레즐', '시나몬 프레즐', '버터페퍼 프레즐', '부추베이컨 프레즐']"
커피 벌스데이,"카페,디저트",999+,서울 마포구 와우산로29길 26-33 1층 커피 벌스데이,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230703_113%2F1688385040591BuKGY_JPEG%2FIMG_8274.jpeg,"['레드박스패키지(조각케이크 별도구매)', '플라워패키지(조각케이크 별도구매)', '폴인러브 홀케이크', '썸머바비 홀케이크']"
팽페르뒤,"카페,디저트",219,서울 마포구 동교로38길 12 2층,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231031_57%2F1698736760868OXCLA_JPEG%2F%25B7%25CE%25B0%25ED.jpg,"['jambon et glace', 'creme anglase', 'latte', 'americano']"
으믐,카페,57,서울 마포구 성미산로 29 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231115_240%2F1700020765718nmfvk_JPEG%2FC7DAFA76-C8BF-4AED-8B61-4FE4898D93EA.jpeg,"['카라멜 모카', '밤 호박 우유', '레몬 아이스크림', '피스타치오 카라멜 타르트']"
마타사,"카페,디저트",179,서울 마포구 새창로6나길 31,"['커피가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230722_257%2F1690009735480DOvkR_JPEG%2FIMG_9007.jpeg,"['ESPRESSO', 'ALMOND KOUIGN AMANN']"
어글리베이커리,베이커리,999+,서울 마포구 월드컵로13길 73 1층 어글리 베이커리,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200811_57%2F1597153851912zTUxD_JPEG%2F7kjSXijOz1qdZJ-rGEJW__vY.jpg,"['말차 맘모스', '크림치즈 앙버터 시리즈', '감동의 대파빵', '얼그레이 크림빵']"
합정티라미수,"카페,디저트",999+,서울 마포구 양화로3길 55 지하1층 합정티라미수,"['디저트가 맛있어요', '커피가 맛있어요', '대화하기 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20230717_147%2F1689593836917JefSG_JPEG%2F43cb8670-2496-11ee-a107-a0369ffddda8_03.jpg,"['오리지날 티라미수', '얼그레이 티라미수', '망고 티라미수', '[패스오더전용] 100원 아메리카노']"
코코로카라,베이커리,999+,서울 마포구 연남로1길 41,"['특별한 메뉴가 있어요', '빵이 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230602_158%2F1685688847310UW2Tv_JPEG%2FKakaoTalk_20230602_154107979.jpg,"['미쯔말차푸딩', '바나나푸딩', '바나나오레오푸딩', '발로나밀크푸딩']"
비포블루밍,"카페,디저트",999+,서울 마포구 양화로23길 28 3층,"['디저트가 맛있어요', '음료가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230421_129%2F1682058517393AKYiY_JPEG%2FF7D5DD5A-0238-45EB-BEF0-25154A17DD46.jpeg,"['당일 홀케이크 구매 (1호, 미니)', '크리스마스 예약 12.01(금)오픈', '베리에이드', '살구홍차 밀크티']"
코코넛박스 카페,"카페,디저트",857,서울 마포구 홍익로3길 20 지하 2층,"['인테리어가 멋져요', '디저트가 맛있어요', '사진이 잘 나와요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231110_172%2F1699598383244xPvyr_JPEG%2Fe88defe2-7f93-11ee-8fa1-48df37ae3dc4_03.jpg,"['망고스틴', '퀸아망', '모찌빵', '아이스아메리카노']"
터틀힙,"카페,디저트",999+,서울 마포구 연남로1길 44 1층 터틀힙,"['디저트가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231016_2%2F1697418155805tsvYE_JPEG%2F84D84F33-71CF-467E-8EC6-5CF1637B8D1F.jpeg,"['당일케이크(매장상시판매)', '커스텀케이크', '데일리', '해플']"
유키모찌 연남점,아이스크림,999+,서울 마포구 동교로 240 1층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231005_260%2F16964897684888TtwK_JPEG%2FP20230830_135253685_74D1909C-A7E5-476A-BF7C-E50E6D2CFBE8.jpg,"['인절미', '피스타치오 아몬드', '다크초코칩', '녹차']"
소설원 망원,"카페,디저트",999+,서울 마포구 월드컵로13길 22-3,"['디저트가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231122_278%2F1700632530866KPwaq_JPEG%2FIMG_9086.jpeg,"['휘낭시에 5ea', '술빵 카스텔라', '아메리카노', '솔트 바닐라 휘낭시에 1ea']"
피오니,케이크전문,999+,서울 마포구 독막로7길 51,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230112_2%2F1673508255327YKwQG_JPEG%2F2D8C9054-67B3-48C7-AD45-221E1E32374B.jpeg,"['딸기생크림케이크조각', '딸기생크림케이크미니', '딸기생크림케이크1호', '딸기생크림케이크2호']"
