name,class,review_count,address,review_top3,background_image_url,cafe_menu
안다르커피,카페,72,서울 서대문구 연세로9길 25 2층,"['커피가 맛있어요', '집중하기 좋아요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221110_293%2F1668068086151l2B9o_JPEG%2F20221110_103834.jpg,"['크로플', '베이글+크림치즈', '크로칸슈', '아이스크림라떼']"
사일런트 플로우,"카페,디저트",387,서울 서대문구 통일로37길 46 1층,"['커피가 맛있어요', '매장이 청결해요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_205%2F1627370223288IM2G6_JPEG%2FMdomletD9CwftJo_B2WZanWq.jpg,"['코코넛커피스무디', '흑임자크림라떼', '아인슈패너라떼', '팥빙수쉐이크']"
만동제과,베이커리,999+,서울 서대문구 연희로 32,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221031_161%2F166716854433241cwJ_JPEG%2FKakaoTalk_20221013_142801149_13.jpg,"['마늘바게트', '콘마요', '프레첼']"
스웨이커피스테이션,"카페,디저트",999+,서울 서대문구 연희로11길 61,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210105_277%2F1609833800494Hlbax_JPEG%2FkreJOypM5uV-k933N4kNFo3i.jpg,"['카푸치노', '롱블랙', '플랫화이트', '라떼']"
베베베 신촌점,베이글,188,서울 서대문구 연세로5나길 24 지상1층~4층,"['빵이 맛있어요', '사진이 잘 나와요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231004_45%2F1696395790365ojRBl_JPEG%2FIMG_4244.jpg,"['탕후루(캔디) 프레첼', '후렌치후라이(프레첼)', '무화과월넛 크림치즈 프레첼', '몰트크림 초콜릿라테']"
파이홀,카페,999+,서울 서대문구 연세로5나길 20,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_26%2F1589550903031XSMWB_JPEG%2FloqZ7K-pF0LYDuiwy2kaTVT9.jpg,"['얼그레이가나슈', '오레오말차 가나슈', '아메리카노', '카페라떼']"
르바게트 메종,베이커리,231,서울 서대문구 명물길 28 1층,"['빵이 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_218%2F1696922990655sTkQR_JPEG%2FIMG_9623.jpg,"['단밤 (시그니쳐)', '아메리카노(Hot/ICE)', '카페라떼(HOT/ICE)', '카푸치노']"
그루밍커피,"카페,디저트",78,서울 서대문구 이화여대3길 26 1층 102호,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231014_215%2F1697239621094odNUH_JPEG%2Ftemp_file.jpg,"['산딸기 하트 무스케이크', '얼그레이 가득 갸또', '보늬 밤 갸또', '라즈베리 초코 갸또']"
리히트,케이크전문,999+,서울 서대문구 연희로4길 10 리히트,"['디저트가 맛있어요', '선물하기 좋아요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231128_63%2F1701164905417NVplM_JPEG%2Ftemp_file.jpg,"['도시락케이크예약진행', '자바칩바닐라라테케이크', '우유속에 팥팥', '캐롯캐롯 케이크(original)']"
프로토콜 연희점,"카페,디저트",999+,서울 서대문구 연희로 109 2층,"['커피가 맛있어요', '집중하기 좋아요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211117_235%2F1637111766001h166z_JPEG%2F04531D1F-5E55-40C2-B669-919206DBFB60.jpeg,"['필터커피', '아메리카노', '카페라떼']"
