name,class,review_count,address,review_top3,background_image_url,cafe_menu
피그커피 교대점,"카페,디저트",128,서울 서초구 사임당로17길 123 1층,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230503_251%2F1683096066221h9Nnb_JPEG%2FKakaoTalk_20230503_115049896-min.jpg,"['아메리카노(고소)', '쪽파크림치즈 소금빵', '이즈니버터 휘낭시에', '아메리카노(신맛)']"
에크하우스,"카페,디저트",174,서울 서초구 강남대로8길 15-1 1층,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230609_182%2F1686301951679drqTk_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2023-06-09_%25BF%25C0%25C8%25C4_6.09.05.png,"['하우스 크림', '아인슈페너', '버터바', '판나코타']"
오우아,"카페,디저트",999+,서울 서초구 방배천로6길 3-4 1층,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221210_11%2F1670655283091cDf5q_JPEG%2F1670655166392.jpg,"['단호박케이크', '아인슈페너']"
스템커피 강남점,"카페,디저트",266,서울 서초구 서초대로77길 5 1~2층,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231006_12%2F1696587827182ht0Sy_JPEG%2FSTEM_%25BB%25F3%25C7%25A5%25B1%25C7_05.jpg,"['바닐라빈크림라떼', '리치화이트', '코코바닐라', '에스프레소']"
인더 페이스트리,베이커리,92,서울 서초구 서초대로 357 104호,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231117_71%2F1700210358500Nmn1v_JPEG%2FKakaoTalk_20231117_173811501_02.jpg,"['에쉬레 크로와상', '앙버터 데니쉬', '바닐라크로와상', '햄&치즈 크로와상']"
쎄봉 크루아상 크로플마을,"카페,디저트",382,서울 서초구 방배천로2안길 45 1층,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230805_123%2F1691196318510RGf0x_JPEG%2FIMG_0928.jpeg,"['생 고메버터 소금 크로플', '[[[재주문률 100%]]] 소금 크로플', '[[배달비 0원 행사]] 아메리카노', '꾸덕 누텔라 크로플']"
레망도레,베이커리,76,"서울 서초구 사평대로26길 9-3 1층, 지하","['빵이 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231114_279%2F1699942457420LyUgc_JPEG%2Fearlgrey-madeleine.jpg,"['카다멈번', '브리오슈 브레산느', '크로아상', '카라멜 브리오슈 크림번']"
프릳츠 양재점,"카페,디저트",999+,서울 서초구 강남대로37길 24-11,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230522_112%2F1684727062443d2ppM_JPEG%2F1.jpg,"['에스프레소', '아메리카노', '롱블랙', '플랫 화이트']"
헬무트커피로스터스,"카페,디저트",999+,서울 서초구 방배천로6길 3-10 헬무트커피로스터스,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190208_276%2F15496176869283WheY_JPEG%2F0dPCx8fYhgPQNXI69_5csqZi.jpeg.jpg,"['마피아 밀크', '마피아 워터', '드립커피(필터)', '아메리카노']"
쏘스윗 강남,"카페,디저트",125,서울 서초구 강남대로 455 강남태영데시앙루브 지하1층 110호 쏘스윗 강남,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzEwMjVfMjkx%2FMDAxNjk4MTcwODQxNTk5.8UUDulnpm4Sl8NsIESOrkxChN6DiMpbSl2AeQQLitigg.m-etDwZtqnkXYHvXBj85dRLPUnzxRRjDn3Iwc-kagW8g.JPEG.lapiece%2FDSC06146.jpg,"['도시락형 케이크', '박스형 케이크', '티아라 케이크', '곰돌이 케이크']"
산도,브런치카페,999+,서울 서초구 서초대로56길 38 1층,"['음식이 맛있어요', '특별한 메뉴가 있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221024_101%2F1666579538822eGN68_PNG%2F20221024_114428.png,"['가츠산도', '매운가츠산도', '에그산도', '생과일크림산도 (딸기 시즌메뉴)']"
타르타르 강남역점,카페,999+,서울 서초구 강남대로61길 13,"['디저트가 맛있어요', '친절해요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221111_70%2F16681680356663pVU2_JPEG%2FBT9A0438.jpg,"['에그 타르트', '치즈 타르트', '자몽 타르트', '요거트 타르트']"
챱챱케이크,케이크전문,999+,서울 서초구 서초중앙로 110 104호 1층 대로변,"['디저트가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220610_64%2F1654857891940B0tSu_JPEG%2F20220610_194323.jpg,"['울면안되! 산타 케이크', '벌스데이 보틀케이크 (고정문구)', '당일 레터링 보틀 케이크', '당일 도시락 케이크']"
태양커피,테이크아웃커피,999+,서울 서초구 서초대로25길 55 1층,"['커피가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180328_176%2F1522202086851YIiDm_JPEG%2FXww4Hw_AtMahUimQTZW_kvta.jpg,"['롱블랙', '카페라떼', '바닐라라떼', '카라멜라떼']"
메종엠오,베이커리,999+,서울 서초구 방배로26길 22 1층 코너,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201019_36%2F1603077845875jCQAA_JPEG%2F82rq788FxnZkNWJNRebDQsas.jpg,['마들렌']
거북이,"카페,디저트",999+,서울 서초구 방배천로4안길 48 1층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230903_203%2F16937004765279XGKj_JPEG%2F1690253908403.jpg,"['아메리카노', '에스프레소', '두유 크림라떼', '두유 바닐라라떼']"
모센트 양재점,"카페,디저트",23,서울 서초구 양재천로29길 21 1층 102호,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231104_165%2F16990727804684blY4_JPEG%2Fscaled_1699072731800.jpg,['핸드드립']
루엘드파리,베이커리,999+,서울 서초구 서초중앙로 18 서초쌍용플래티넘 112호,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200527_112%2F15905451007786ghtV_JPEG%2FyvE2bks6gF5SvY_4pMzMG7Cg.jpg,"['오리지날 크루아상', '아몬드 크루아상', '초콜렛 크루아상', '말차 큐브데니쉬']"
장꼬방,빙수,999+,서울 서초구 강남대로61길 27 1층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150825_53%2F1440484362921Oj87z_JPEG%2F166775556259678_0.jpg,"['찹쌀떡(개당)', '쑥찹쌀떡(개당)', '팥빙수', '단팥죽']"
