name,class,review_count,address,review_top3,background_image_url,cafe_menu
데이던스,"카페,디저트",269,서울 송파구 송파대로 452 6층,"['커피가 맛있어요', '뷰가 좋아요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220607_207%2F1654568689941jIz8i_JPEG%2FKakaoTalk_20220529_124620078_08.jpg,"['딸기 수플레', '크림브륄레수플레', '피칸치즈곶감', '치즈플레이트']"
앤티크커피 잠실점,"카페,디저트",999+,서울 송파구 백제고분로41길 21-16 1층 앤티크커피 잠실점,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230327_204%2F1679911266352gRnKr_JPEG%2FKakaoTalk_20230326_220727133_09.jpg,"['더티앤크림', '체리 쇼콜라 케이크', '블루베리 치즈 케이크', '누텔라 초코 쉬폰케이크']"
팻어케이크,"카페,디저트",999+,서울 송파구 백제고분로45길 9 2층,"['디저트가 맛있어요', '친절해요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231109_38%2F1699506494087CYb6i_JPEG%2FIMG_6247.jpeg,"['당일홀케이크(미니,1호)', '조각모둠홀케이크', '샤인머스캣미니', '샤인머스캣1호']"
키친205 롯데월드몰점,"카페,디저트",999+,서울 송파구 올림픽로 300 롯데월드몰 지하1층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201126_113%2F1606353549387l3UAd_JPEG%2FKdGWiNO7tUwMNkoCGMPy4iSC.jpeg.jpg,"['딸기밭케이크 1호', '딸기밭케이크 미니']"
런던베이글뮤지엄 잠실점,베이커리,999+,서울 송파구 올림픽로 300 1층,"['빵이 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230816_28%2F1692166071429TcODF_JPEG%2FKakaoTalk_20230816_150445656_03.jpg,"['쪽파 프레첼 베이글', '잠봉 버터 샌드위치', '브릭레인 샌드위치', '무화과 베이글']"
뮬리노 에스프레소바 롯데월드몰점,"카페,디저트",133,서울 송파구 올림픽로 300 롯데월드몰 6층,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230921_271%2F1695303142550q1VMq_JPEG%2FTalkMedia_i_371a65817ed7.jpeg,['고릴라떼']
레드애플 롯데백화점잠실점,"카페,디저트",605,서울 송파구 올림픽로 240 지하1층,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210803_211%2F1627917610311E1Psm_JPEG%2FTvd9gaLPvwQpmwjdmYgb3CpO.jpg,"['오리지널 애플파이', '바닐라 애플파이', '리얼애플에이드', '리얼티']"
니커버커베이글,"카페,디저트",999+,서울 송파구 석촌호수로 268 1층 109~112호,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230203_270%2F1675434291826ifLD8_JPEG%2FA8248D08-9DC8-4448-ABE6-C8F68011D0ED.jpeg,"['NY 빅애플', '록셔리 연어샌드위치', '베이컨 에그 앤 치즈 샌드위치', '베이컨 스리라차 크림치즈']"
웰하우스,"카페,디저트",999+,서울 송파구 오금로16길 10 2층,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231128_232%2F170114527178225OrO_JPEG%2FKakaoTalk_20231128_131945708_04.jpg,"['딸기 생크림 케이크', '귤 케이크', '웰 프토', '핫초코']"
르브리에,"카페,디저트",999+,서울 송파구 백제고분로43길 8 1층,"['음식이 맛있어요', '친절해요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221024_134%2F1666591580962PEyJW_JPEG%2FBBB52B15-E7C5-4DB7-BFE0-ECF9AB675EEC.jpeg,"['라구로제파스타', '아보카도 바질페스토 파스타', '구운야채샐러드', '베리베리']"
