name,class,review_count,address,review_top3,background_image_url,cafe_menu
달빙수 디저트카페,"카페,디저트",35,서울 양천구 오목로13길 3 1층,"['디저트가 맛있어요', '친절해요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230608_61%2F1686207314761tCpbz_JPEG%2FKakaoTalk_20230608_145427972_05.jpg,"['수제 인절미 팥빙수', '애플망고 빙수', '블루베리 빙수', '딸기 빙수']"
몰랑케이크,케이크전문,118,서울 양천구 오목로32길 19 1층,"['디저트가 맛있어요', '친절해요', '선물하기 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230412_222%2F1681273569708QwcxM_JPEG%2FKakaoTalk_20230412_131815652.jpg,"['앙금플라워(크레센트형)', '앙금플라워(리스형)', '앙금플라워(풀돔형)', '앙금플라워떡케이크(꽃두송이형)']"
빵의시간 목동본점,"카페,디저트",592,서울 양천구 목동중앙북로12길 41 1층 빵의시간,"['특별한 메뉴가 있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231127_299%2F1701097116601y3orz_JPEG%2F6eda578d-8d35-11ee-b893-48df37ae3fca_03.jpg,"['허니버터 라우겐스콘', '에그 레몬마요 소금빵', '바질크림 소금빵', '아메리카노']"
레몬버베나,"카페,디저트",999+,서울 양천구 오목로54길 14 1층,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210722_109%2F1626917294981Sm0Bj_JPEG%2FAsowJLsVbKcvaF9JiA6eTCsx.jpeg.jpg,"['디카페인콜드브루', '디카페인콜드브루라떼', '녹차케이크', '딥초코케이크']"
카멜리온,베이커리,991,서울 양천구 오목로 196 1층,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180315_174%2F1521108482865gK75D_JPEG%2FHByYVX70maezFqwjlQR4Hcd5.jpg,"['아메리카노', '카페라떼', '밀크초코']"
워크엑스,"카페,디저트",388,서울 양천구 목동중앙북로 82 이에스풀하임 1층 104호,"['커피가 맛있어요', '친절해요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221212_295%2F1670770891514RiaP0_JPEG%2F04EA2807-1CA1-4B04-A341-1B74250DD590.jpeg,"['시나몬도넛', '곶감버터, 곶감크림치즈', '바나나 아이스크림 팝콘', '티라미수']"
블루밀,베이커리,999+,서울 양천구 목동중앙본로 106 1층,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181228_262%2F15460063073035gj5N_JPEG%2FEccgYThEUX6FTMNBS3SImvzU.jpeg.jpg,"['크림치즈품은먹물빵', '탕종우우식빵', '앙버터', '통밀크림치즈무화과']"
파티세리소나,베이커리,999+,서울 양천구 목동중앙북로5길 34,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151104_168%2F14466150631084dGqf_JPEG%2F166979535373945_0.jpeg,['에그타르트']
하니앤손스,"카페,디저트",533,서울 양천구 신목로2길 68,"['음료가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210319_26%2F1616140624234130Kx_JPEG%2FbypI_4weKyrvWfA02ZEemHHu.jpeg.jpg,"['애프터눈 티 세트', '아메리카노', '밀크티', '티']"
신월당,베이커리,999+,서울 양천구 남부순환로58길 31,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190905_77%2F1567663676883qMATV_JPEG%2FGci1TTUI-ANjTzwbb2cZyisH.jpeg.jpg,"['신월당 식빵', '초코홀릭 식빵', '치즈 품은 까망 식빵', '올리브 치아바타']"
