name,class,review_count,address,review_top3,background_image_url,cafe_menu
커스텀커피 영등포포레나점,카페,193,서울 영등포구 국회대로50길 20 상가동 1층 115-1호,"['커피가 맛있어요', '친절해요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230816_94%2F1692160131225JodPJ_JPEG%2FKakaoTalk_20230810_065425508.jpg,"['흑임자 크림 라떼', '카페 라떼', '아메리카노', '자몽에이드']"
리웨이,"카페,디저트",163,서울 영등포구 영신로 238 미소로 1층 Leeway,"['친절해요', '디저트가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230123_276%2F1674484368872Vwv5i_JPEG%2F%25B9%25E8%25B3%25CA%25B0%25A3%25C6%25C71.jpeg,"['수제 우유생크림 소금빵', '케이준부리또랩샌드위치', '수제밀크티', '휘낭시에 선택']"
맨홀커피웨스턴,카페,388,서울 영등포구 영등포로27길 24 1동 1층 101호,"['인테리어가 멋져요', '커피가 맛있어요', '사진이 잘 나와요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231106_147%2F1699249960032LS1rR_PNG%2FIMG_0105.png,"['맨홀크림 화이트', '맨홀크림 라이트', '맨홀크림 블랙 (ICE)', '맨홀크림 블랙 (HOT)']"
골든피스 더현대 서울 팝업스토어,"카페,디저트",238,서울 영등포구 여의대로 108 지하1층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231027_219%2F1698369858182ai4Cd_JPEG%2FDSC09749-Enhanced-NR_%25C1%25DF%25B0%25A3.jpeg,"['골든피스 12개입 패키지', '골든피스 6개입 패키지', '골든피스 약과 아이스크림', '골든피스 캘린더']"
맨홀커피,카페,999+,서울 영등포구 영신로 247 B동상가 지하 1층,"['인테리어가 멋져요', '커피가 맛있어요', '사진이 잘 나와요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220127_268%2F1643268363444BDf4l_JPEG%2F20210920_183109.jpg,"['맨홀핸드드립', '맨홀핸드드립', '맨홀크림 Black (ice)', '맨홀크림 Black (hot)']"
테디뵈르하우스 더현대서울점,"카페,디저트",844,서울 영등포구 여의대로 108,"['디저트가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230926_17%2F1695698345703nnOwq_JPEG%2FKakaoTalk_Photo_2023-09-26-12-18-19_006.jpeg,"['피스타치오 크림라떼', '크림라떼', '에스프레소', '아메리카노']"
브레디포스트 더현대서울,베이커리,96,서울 영등포구 여의대로 108 더현대 서울 B1,"['빵이 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231020_100%2F16977935274207HoSP_PNG%2F%25B4%25F5%25C7%25F6%25B4%25EB_%25BD%25E6%25B3%25D7%25C0%25CF.png,"['플레인 프레즐', '시나몬 프레즐', '버터페퍼 프레즐', '부추베이컨 프레즐']"
코끼리베이글,베이글,999+,서울 영등포구 선유로 176 코끼리베이글,"['빵이 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170526_195%2F14957712764547WjT5_JPEG%2F186475415131029_0.jpeg,"['버터솔트', '라떼', '플레인베이글', '아메리카노']"
강변서재,"카페,디저트",198,서울 영등포구 의사당대로 1 국회 사랑재 옆 건물 2층,"['뷰가 좋아요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230921_41%2F1695279804701dvihJ_JPEG%2F3.jpg,"['레몬에이드', '자몽에이드', '카페라떼(HOT)', '아메리카노(HOT)']"
쉐프조  문래본점,케이크전문,999+,"서울 영등포구 문래로 98 한영빌딩 104호,105호,106호","['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201010_68%2F1602331385165uOcmy_JPEG%2FJupSv59qV3qsGseHi0b8E_P4.jpg,"['딸기생크림 1호', '단호박타르트 1호', '딸기생크림2호', '딸기생크림3호']"
