,formatted_data
강남구,"베이커리:52, 카페,디저트:207, 케이크전문:7, 기타:38"
강동구,"베이커리:49, 카페,디저트:209, 케이크전문:10, 기타:36"
강북구,"베이커리:30, 카페,디저트:220, 케이크전문:13, 기타:41"
강서구,"베이커리:49, 카페,디저트:209, 케이크전문:23, 기타:23"
관악구,"베이커리:39, 카페,디저트:222, 케이크전문:12, 기타:27"
광진구,"베이커리:40, 카페,디저트:227, 케이크전문:8, 기타:29"
구로구,"베이커리:38, 카페,디저트:210, 케이크전문:11, 기타:45"
금천구,"베이커리:31, 카페,디저트:227, 케이크전문:10, 기타:36"
노원구,"베이커리:53, 카페,디저트:197, 케이크전문:21, 기타:33"
도봉구,"베이커리:49, 카페,디저트:206, 케이크전문:7, 기타:42"
동대문구,"베이커리:45, 카페,디저트:220, 케이크전문:12, 기타:27"
동작구,"베이커리:52, 카페,디저트:204, 케이크전문:8, 기타:40"
마포구,"베이커리:47, 카페,디저트:224, 케이크전문:6, 기타:27"
서대문구,"베이커리:39, 카페,디저트:211, 케이크전문:9, 기타:45"
서초구,"베이커리:55, 카페,디저트:198, 케이크전문:14, 기타:37"
성동구,"베이커리:39, 카페,디저트:232, 케이크전문:11, 기타:22"
성북구,"베이커리:35, 카페,디저트:242, 케이크전문:7, 기타:20"
송파구,"베이커리:62, 카페,디저트:213, 케이크전문:7, 기타:26"
양천구,"베이커리:49, 카페,디저트:197, 케이크전문:24, 기타:34"
영등포구,"베이커리:63, 카페,디저트:200, 케이크전문:12, 기타:33"
용산구,"베이커리:54, 카페,디저트:207, 케이크전문:8, 기타:35"
은평구,"베이커리:51, 카페,디저트:211, 케이크전문:17, 기타:25"
종로구,"베이커리:45, 카페,디저트:218, 케이크전문:2, 기타:39"
중구,"베이커리:41, 카페,디저트:230, 케이크전문:4, 기타:29"
중랑구,"베이커리:34, 카페,디저트:225, 케이크전문:17, 기타:28"
