name,gu,address,class,cafe_menu,review_count,review_top3,background_image_url
포피엠커피,강남구,서울 강남구 삼성로133길 12 청수빌딩 1층,"카페,디저트","['아메리카노', '에그타르트', '소금라떼', '복숭아 스무디']",542,"['커피가 맛있어요', '매장이 청결해요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221116_57%2F16685702176672nEfC_JPEG%2F1.jpg
다크그림,강남구,서울 강남구 강남대로112길 12 1층 다크그림,"카페,디저트","['휘낭시에', '빼빼로휘낭시에 선물포장 6구', '테디 브라우니 아이스크림', '선물포장']",999+,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231027_201%2F1698384778575Bh3lx_JPEG%2F0B8EB69B-C721-4305-81D6-3BC94D876724.jpeg
따우전드 신사점,강남구,서울 강남구 강남대로162길 36 지상1층 101호,"카페,디저트","['TOM(from 키웨스트)', '바나나 크림 파이', '펌킨 파이', '보스턴 크림 파이']",104,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231025_293%2F1698162178025uyLhL_JPEG%2FIMG_7987.jpeg
자연도소금빵in 도산,강남구,서울 강남구 도산대로49길 41 1층,베이커리,['자연도소금빵'],101,"['빵이 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231103_20%2F1699017743387pGPx5_JPEG%2FKakaoTalk_20230425_163904701.jpg
투아투아,강남구,서울 강남구 압구정로48길 34 1층,베이커리,"['어니언스프', '에피', '바게트', '치아바타']",336,"['인테리어가 멋져요', '빵이 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_245%2F1695214725773h5WCQ_JPEG%2FIMG_8734.jpeg
로알드앤달,강남구,서울 강남구 강남대로158길 32 지상1층,"카페,디저트","['스트로베리', '솔티드 카라멜', '블루베리', '카스테라']",406,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231110_275%2F16996008364565UbnI_JPEG%2F%25BF%25DC%25B0%25FC.jpg
어글리퍼피 도산,강남구,서울 강남구 언주로170길 26-6 1층,"카페,디저트","['Tomato meat pie', 'Chausson au pomme', '과일 타르트', '약과 쿠키']",999+,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230329_6%2F1680069585223hRFnX_JPEG%2FKakaoTalk_20230324_112537406.jpg
슬로우커피,강남구,서울 강남구 역삼로 136 신명빌딩 1층,"카페,디저트","['슬로우라떼', 'MELTING LATTE 멜팅라떼', 'BROWNIE 브라우니', 'MELTING BROWNIE 하겐다즈']",288,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231027_183%2F1698391168339ajtR9_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AFCEO05137-1-1.jpeg
하이도산,강남구,서울 강남구 선릉로155길 11 1층 101호,"카페,디저트","['에스프레소 3 - 플래터', '이탈리아 정통 에스프레소 (북부)', '이탈리아 정통 에스프레소 (중부)', '이탈리아 정통 에스프레소 (남부)']",555,"['커피가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231026_90%2F1698287456770NGcTE_JPEG%2FKakaoTalk_20231026_112032851_29.jpg
트리오드,강남구,서울 강남구 강남대로94길 28 유니언타운 L층,"카페,디저트","['페어링 세트', '블루베리 케익그람', '레몬치즈 케익그람', '초코케익그람']",999+,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230302_259%2F1677758007406bGjem_JPEG%2FKakaoTalk_20230302_205216923.jpg
레뽀드라라 강남점,강남구,서울 강남구 테헤란로7길 22 2관 101호,카페,"['프리미엄 수제스콘 4구 선물세트', '프리미엄 수제 스콘 6구세트', '아메리카노', '플레인 휘낭시에']",819,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231023_254%2F1698044173440Gayvr_PNG%2FEFD748E8-B4B4-4483-B031-D9C30CA4D591.png
