name,class,review_count,address,review_top3,background_image_url,cafe_menu
브라운헤이븐,"카페,디저트",239,서울 강북구 도봉로10라길 20 브라운헤이븐,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230804_63%2F1691074963543vQlph_JPEG%2FD862AB32-36B7-4EE2-82C8-73C19CE1CE32.jpeg,"['브라운 몽블랑파이', '인절미쑥파이', '블루베리치즈케이크파이', '레몬파이']"
루시드스터디카페,스터디카페,139,서울 강북구 덕릉로 133 3층 루시드 스터디카페,"['요금제가 잘 되어있어요', '집중하기 좋아요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210205_198%2F1612509492830GYwsq_JPEG%2F6JBr8-TAdMT4h7p5HlozSl1I.jpeg.jpg,"['시간권.당일권.정기권', '시간권.당일권.정기권.오픈석.일인실', '가격문의']"
몽브루,"카페,디저트",999+,서울 강북구 4.19로 105 몽브루,"['커피가 맛있어요', '뷰가 좋아요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220604_132%2F16543372291338vtbk_JPEG%2FKakaoTalk_20220604_190631223.jpg,"['아메리카노', '로투스크로플', '브라운치즈크로플', '핸드드립 커피']"
카페 산아래,카페,999+,서울 강북구 삼양로181길 56 102호,"['뷰가 좋아요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_195%2F1695199544932URJL3_JPEG%2F1000064521.jpg,"['아메리카노 hot', '카페라떼 핫', '카페모카 핫', '카푸치노 핫']"
옥류헌릴렉스,"카페,디저트",999+,서울 강북구 삼양로181길 142 옥류정,"['뷰가 좋아요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230307_203%2F1678167150452rmynI_JPEG%2FKakaoTalk_20230307_134709826.jpg,"['레몬에이드', '자몽에이드', '청포도에이드', '딸기요거트스무디']"
구들리,"카페,디저트",96,서울 강북구 4.19로12길 65-7 1층 구들리,"['커피가 맛있어요', '인테리어가 멋져요', '사진이 잘 나와요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231109_258%2F1699520798429nl7aQ_JPEG%2FIMG_1288.jpeg,"['구들리라떼', '슈크림라떼', '아이스크림라떼', '흑임자라떼']"
무너미,"카페,디저트",999+,서울 강북구 노해로8가길 40 1층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221121_96%2F1669027695690Dc6RO_JPEG%2F74B0B0CD-5893-4A2D-966B-58443D75CCF0.jpeg,"['황치즈 케이크', '초코쿠키 케이크', '딸기&바닐라 케이크', '곶감 약과 케이크']"
브라운헤이븐,"카페,디저트",240,서울 강북구 도봉로10라길 20 브라운헤이븐,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230804_63%2F1691074963543vQlph_JPEG%2FD862AB32-36B7-4EE2-82C8-73C19CE1CE32.jpeg,"['브라운 몽블랑파이', '인절미쑥파이', '블루베리치즈케이크파이', '레몬파이']"
노르웨이안우드,"카페,디저트",955,"서울 강북구 도봉로87길 32-6 1,2층","['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230520_170%2F1684564282719cmMmk_JPEG%2F7F78F537-D520-40F6-85D1-60184F38446B.jpeg,"['밤스콘 [가을한정](남은수량:3개)', '빠다코코넛스콘(남은수량:2개)', '플레인스콘 [과일잼 증정](남은수량:1개)', '무화과스콘(남은수량:3개)']"
아카데미하우스,"카페,디저트",999+,서울 강북구 4.19로 135 아카데미하우스,"['뷰가 좋아요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220830_142%2F1661837990922lGocI_JPEG%2FKakaoTalk_20220830_143835663.jpg,"['아메리카노', '매운 새우 날치알 파스타', '명란 오일 파스타', '해산물 로제 리조또']"
