name,class,review_count,address,review_top3,background_image_url,cafe_menu
브라이트,"카페,디저트",341,서울 강서구 강서로17길 42 Bright bake house,"['디저트가 맛있어요', '친절해요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231019_103%2F1697721565921x4gVv_JPEG%2F79107BEA-6072-4D49-9B36-FB60B5BC6383.jpeg,"['Bright 바나나푸딩', '파운드케이크', '스콘', '아메리칸 쿠키']"
브런치빈 마곡점,브런치,999+,서울 강서구 공항대로 261 발산파크프라자 206호,"['음식이 맛있어요', '가성비가 좋아요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231107_47%2F1699346457171aiBv5_JPEG%2F576315e8-7d49-11ee-b3ec-80615f0bcf30_03.jpg,"['샘플러', '스파이시 쉬림프 파스타', '김치 필라프', '리코타 샐러드']"
베이글리스트,베이글,999+,서울 강서구 마곡동로 55 마커스빌딩 102호,"['빵이 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230714_199%2F1689293831272NIviF_JPEG%2Fooj-113-min.,"['BAGEL GIFT BOX (4개입)', 'BAGEL GIFT BOX (6개입)']"
해머스미스커피 마곡아이파크점,카페,999+,서울 강서구 마곡중앙8로 90 118호,"['커피가 맛있어요', '음료가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211124_124%2F1637762935678hkA5q_JPEG%2F%25BB%25E7%25BA%25BB_-20211123_190358_%25281%2529.jpg,"['아메리카노', '카페라떼', '아인슈페너', '코코넛밀크 위드 샷']"
베이커리 룬,베이커리,999+,서울 강서구 공항대로 261 발산파크프라자10,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220928_157%2F1664335633612rXPYa_JPEG%2FEAEC46DC-B1EB-48FB-9FC2-49696D014BD4.jpeg,"['크루아상', '초코 크루아상', '갈릭크림치즈크루아상', '뺑 오 쇼콜라']"
오지오커피,"카페,디저트",999+,"서울 강서구 공항대로 213 보타닉파크타워 2 115호, 116호","['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230504_232%2F1683167192317laHl2_JPEG%2Fimage.jpg,"['자색고구마크림라떼', '호지티 크림라떼', '쑥크림라떼', '크림라떼']"
고드니,"카페,디저트",999+,"서울 강서구 마곡중앙로 161-1 캐슬파크 2층 220, 230호","['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230731_173%2F1690799335380YUtps_JPEG%2F32FFA95F-04FA-4BAE-908B-7E7A72814ED4.jpeg,"['글루텐프리 휘낭시에 BOX', 'godny bianco', '필터커피', '글루텐프리 케이크']"
프레베리 케이크,케이크전문,999+,서울 강서구 마곡동로4길 23 1층,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230322_261%2F16794133334750PyNw_JPEG%2F442FF50C-B8ED-4502-8302-4494B4FE1363.jpeg,"['레드베리 1호', '프레베리 1호', '초코베리 1호', '레드베리 2호']"
루브레드,베이커리,999+,서울 강서구 화곡로64길 70,"['빵이 맛있어요', '가성비가 좋아요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230309_25%2F1678328119094NhAgj_JPEG%2FBA872E9B-9B6D-4FC3-984A-852B6A149E3A.jpeg,[]
엘리케이커,케이크전문,735,서울 강서구 마곡중앙5로 6 보타닉푸르지오시티 지하 1층 143호 엘리케이커,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220613_296%2F1655098849619kufrH_JPEG%2F75CBFFEE-28B9-474E-BD0D-FAABFF21CB01.jpeg,"['파이 6구 세트', '[선물 추천] 파이 세트 4구', '빅토리아 케이크 1호 홀 ( 과일변동', '마틸다 초코 케이크 1호 홀']"
어나더사이드,"카페,디저트",999+,서울 강서구 강서로 318 1층 카페 어나더사이드,"['인테리어가 멋져요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230322_23%2F1679448583997uHhiC_JPEG%2FKakaoTalk_20230322_102204265.jpg,"['ANOTHER 시그니쳐 라떼_숙성우유', 'coffee_더티크림슈페너', 'tiramisu_클래식', '리얼 카카오 초코라떼']"
바이러닉 에스프레소바 마곡점,"카페,디저트",149,서울 강서구 마곡중앙로 76 1층 102호,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230830_176%2F1693371999190oKzTE_JPEG%2F%25B9%25D9%25C0%25CC%25B7%25AF%25B4%25D0_%25B7%25CE%25B0%25ED_%25BA%25ED%25B7%25A2%25B9%25E8%25B0%25E6.jpg,"['마곡라떼', '클래식 푸딩', '버터바', '바이러닉 블렌드']"
빵쌤 마곡점,베이커리,999+,"서울 강서구 마곡중앙로 59-5 마곡595빌딩 1, 2층","['빵이 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210401_247%2F1617263702265tbhop_JPEG%2FTdwfAi1tyuESCbjgR72kmSnO.jpg,"['밤파이', '소금빵', '진짜 감자빵', '진짜 고구마빵']"
카페헤니알,"카페,디저트",879,서울 강서구 공항대로 237 1층 116호,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220811_86%2F1660211359569rpE3t_JPEG%2FDD6C4D37-82E5-45C0-9402-A6AD195A24AE.jpeg,"['아메리카노', '카페라떼', '바닐라라떼', '휘낭시에']"
루트205,베이커리,716,"서울 강서구 남부순환로 205 1, 2층","['빵이 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230630_199%2F1688129806184tAo9f_JPEG%2F1686294948107.jpg,"['실타래녹차빙수', '루트205실타래빙수(커피빙수)', '실타래인절미빙수', '실타래우유빙수']"
앵글드,베이커리,999+,서울 강서구 양천로10길 38 103동 상가 101호 앵글드,"['빵이 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210809_280%2F1628515449513RqUQI_JPEG%2FxFVmUzjcTG7hn430rAZw-maM.jpg,['아메리카노']
