name,class,review_count,address,review_top3,background_image_url,cafe_menu
위베이브베이크샵,"카페,디저트",410,서울 관악구 남부순환로233길 16 2층,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230802_280%2F1690947247379Cgs8R_JPEG%2FKakaoTalk_20230802_122854610_01.jpg,"['무화과타르트', '아메리카노', '토마토바질에이드', '초코바나나케이크']"
웨이디스터디카페,스터디카페,52,"서울 관악구 호암로20길 1 미림타운 2,3,4층","['집중하기 좋아요', '차분한 분위기에요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230112_35%2F1673486373068rhlbI_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25B1%25A4%25B0%25ED.jpg,"['일회시간권-2시간', '일회시간권-4시간', '일회시간권-6시간', '일회시간권-8시간']"
얼리인라이프,"카페,디저트",71,서울 관악구 관천로11길 1 1층,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231122_130%2F1700633115478C8vQB_PNG%2F%25B3%25D7%25C0%25CC%25B9%25F6_%25B8%25DE%25C0%25CE%25B7%25CE%25B0%25ED.png,"['얼리라떼', '아메리카노', '바닐라라떼', '자몽에이드']"
황홀경,"카페,디저트",999+,서울 관악구 관악로14길 37 B1 황홀경,"['인테리어가 멋져요', '디저트가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180309_243%2F1520583129058zxQLT_JPEG%2F1JYg7ysXmmlfbS90b_ahGC9r.jpeg.jpg,"['프렌치 토스트', '크로플 베이직', '더치베이비 후르츠', '아메리카노']"
쟝블랑제리 낙성대본점,베이커리,999+,서울 관악구 낙성대역길 8,"['빵이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190111_89%2F1547173101373L2phX_JPEG%2FYyxqprA35Gra5RkaDlortckb.jpeg.jpg,"['단팥빵', '고로케', '초코범벅', '생크림/슈크림 팥빵']"
히코,"카페,디저트",82,서울 관악구 남부순환로 1746-1 2층,"['커피가 맛있어요', '인테리어가 멋져요', '사진이 잘 나와요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231011_24%2F1697016942689dJjBY_JPEG%2FKakaoTalk_Photo_2023-10-10-22-00-17_005.jpeg,"['히코커피', '잠봉 루꼴라 샌드위치', '필터커피(게이샤,과테말라,브라질)등등', '원두 200g']"
고로커피로스터스,"카페,디저트",999+,서울 관악구 남부순환로231길 33,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200528_110%2F1590672571274vBuQW_JPEG%2FrnMpJ3dSLv6Su5NxZyvc2OW5.jpeg.jpg,"['아메리카노', '에스프레소', '카푸치노', '플랫 화이트']"
마인드멜드,"카페,디저트",999+,서울 관악구 관악로14길 22 2층,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220430_15%2F1651244812754yyJAw_JPEG%2FKakaoTalk_20220430_000536154_01.jpg,"['쿠키 선물박스', '생크림케이크(딸기)', '레몬 크럼블케이크', '빅토리아 케이크']"
오후의 과일,카페,999+,서울 관악구 관악로14길 15,"['디저트가 맛있어요', '음료가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211028_155%2F1635417213254OgYL8_JPEG%2FDeybz0i43ZP2U5t2r8n8o9mT.jpg,"['모히또(라임)', '크림라떼', '수플레 팬케이크 오리지널', '에이드(패션푸르츠,애플라임)']"
카페 팃빗,"카페,디저트",695,서울 관악구 관악로14가길 6 2층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231129_71%2F17012312586802w6rc_JPEG%2FKakaoTalk_20231129_130809880_02.jpg,"['스콘+커피세트', '팃빗 그레이', '딸기 우유생크림 케이크', '초콜릿 딸기 바나나케이크']"
폼앤노말,"카페,디저트",999+,서울 관악구 신림로67길 25 1층,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230622_265%2F16874320320651lzeP_JPEG%2FIMG_2114.jpeg,"['아인슈페너', '멜팅바스크', '브루잉', '아메리카노']"
위베이브베이크샵,"카페,디저트",410,서울 관악구 남부순환로233길 16 2층,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230802_280%2F1690947247379Cgs8R_JPEG%2FKakaoTalk_20230802_122854610_01.jpg,"['무화과타르트', '아메리카노', '토마토바질에이드', '초코바나나케이크']"
데일리오아시스 샤로수길점,"카페,디저트",999+,서울 관악구 관악로14길 74-3 1층,"['디저트가 맛있어요', '음료가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200303_27%2F1583226943925gEvhz_JPEG%2FhMi8jZUKArdCwCd6GNQR7zcx.jpg,"['데일리오아시스', '말차먹었소', '플레인 티라미수']"
디자이너리 카페,"카페,디저트",999+,서울 관악구 관천로 71-1 4F,"['인테리어가 멋져요', '커피가 맛있어요', '뷰가 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191211_64%2F1576046785172l1W0R_JPEG%2FhnvX13U62q50gqi6EqoAmmBw.jpg,"['시즌과일 레어치즈케이크', '라떼 아인슈페너', '황치즈 휘낭시에', '블루베리토스트']"
옐로우버터드림,"카페,디저트",999+,서울 관악구 관악로14나길 10 2층,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221006_80%2F1665021592473zNxsG_JPEG%2FIMG_20220430_115243_553.jpg,"['파블로바', '호지 갸또', '당근케이크', '파블로바/1호']"
아띠85도씨베이커리,베이커리,999+,서울 관악구 쑥고개로 137,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210628_199%2F1624863976798GutDd_JPEG%2FFqvwbHfxMh2ffmGyrEMpySoz.jpg,"['치즈소프트갈릭', '딸기듬뿍생크림케이크 1호', '앙버터', '프레첼스틱']"
커피볶는여자,"카페,디저트",999+,서울 관악구 관악로14가길 2 1층,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230724_108%2F1690125372728bP7rJ_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5_%25282%2529.jpg,"['커볶라떼', '서리테', '아메리카노', '앙버터모나카(1pcs)']"
