name,class,review_count,address,review_top3,background_image_url,cafe_menu
라떼이즈,"카페,디저트",76,"서울 구로구 중앙로15길 19 1, 2층","['커피가 맛있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230616_139%2F16868998719980qqMo_JPEG%2FKakaoTalk_20230616_155308726.jpg,"['아메리카노', '소금빵', '레몬케이크', '생크림스콘']"
블랑베이커리카페,"카페,디저트",94,서울 구로구 개봉로2길 75 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231027_118%2F1698397308857fPHdx_JPEG%2FKakaoTalk_20231026_134608620_02.jpg,"['아메리카노', '에스프레소', '카페라떼', '카라멜마끼아또']"
9로평상,"카페,디저트",93,서울 구로구 서해안로 2134 (항동),"['디저트가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231117_166%2F1700224887959fV3Jp_JPEG%2F9bfc1d68-8546-11ee-8f91-505dac8c3721_03.jpg,"['H) 평상 아메리카노', 'H) 구로 아메리카노', 'I) 평상 아메리카노', 'I) 구로 아메리카노']"
아빠의 바게트,베이커리,449,서울 구로구 천왕로 56 천왕 이펜하우스 3단지,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230605_106%2F16859140922829wSiD_JPEG%2F585C0E6E-F87A-470A-A188-AF2364EBEADF.jpeg,['플레인 바게트']
빈브라더스 현대백화점 디큐브시티점,카페,999+,서울 구로구 경인로 662 현대백화점 별관 3층,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230914_52%2F1694651469022i6aBd_JPEG%2FDSC04187.jpg,"['드립커피', '에스프레소', '롱블랙', '아메리카노']"
오브베이크,베이커리,763,서울 구로구 디지털로32가길 9 2층 오브베이크,"['빵이 맛있어요', '친절해요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220426_89%2F1650983360861MG825_JPEG%2F96600C50-E154-415C-9030-1B67E48DA880.jpeg,['스모어쿠키']
디저트샵시소,케이크전문,674,서울 구로구 천왕로 29 1층 101호,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_202%2F1657895214862CRgxT_JPEG%2Fimage.jpg,"['조각케이크', '2호 홀케이크', '조각모둠케이크', '1호 홀케이크']"
투썸플레이스 구로디지털역 깔깔거리점,카페,999+,서울 구로구 디지털로32길 97-39,"['커피가 맛있어요', '디저트가 맛있어요', '좌석이 편해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190830_113%2F1567157571988MDEwY_JPEG%2FYWLFyTi43pYsbPfwRwApYofT.jpg,"['달콤한 하루세트(떠먹는 티라미수)', '달콤한 하루세트(떠먹는 아이스박스)', '달콤한 하루세트(떠먹는 딸기레어치즈)', '달콤한 하루세트(떠먹는 바닐라슈크림)']"
BCDM,"카페,디저트",323,서울 구로구 오류로8길 89 1층,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231114_137%2F1699927472203xSWXp_JPEG%2Ftemp_file.jpg,"['꼬끄후레이크', '소금베이글(best)', '블루베리베이글', '올리브베이글']"
이름없는가게,"카페,디저트",411,서울 구로구 개봉로1나길 52 1층 이름없는가게,"['디저트가 맛있어요', '친절해요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231128_193%2F1701134621816LI8Xs_JPEG%2Ftemp_file.jpg,"['딸기생크림케이크 1호', '블루베리생크림 1호', '초코바나나 1호', '홍차생크림 1호']"
올드페리도넛 아이파크몰 고척점,도넛,999+,"서울 구로구 경인로43길 49 1층 B-101호 (고척동, 고척아이파크)","['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221209_12%2F1670564458425B7MuT_PNG%2FODF.png,"['케익도넛 하프 더즌 팩(6EA)', '크림브륄레', '피넛버터', '버터 피스타치오']"
두즈커피,"카페,디저트",500,서울 구로구 남부순환로107길 5 1층,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201201_193%2F1606809979714XxGek_JPEG%2Fg9dI6xWEIShxznSPAPm-UxRX.jpeg.jpg,"['플레인크로플', '에스프레소', '아메리카노', '콜드브루']"
헤네 커피,카페,999+,서울 구로구 디지털로33길 11 1층 헤네커피,"['커피가 맛있어요', '음료가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230405_282%2F1680660723172OK9Xq_JPEG%2FF763BF16-F0E6-4D8D-AD44-C7DC9E3D3779.jpeg,"['말차슈페너라떼', '피넛버터라떼', '아몬드크림라떼', '딸기 가득 라떼']"
데일리스위츠,"카페,디저트",556,서울 구로구 중앙로 9 1층 데일리스위츠,"['디저트가 맛있어요', '친절해요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170303_77%2F1488521759898a46Pv_JPEG%2F186252566072199_0.jpeg,"['수제케익', '아메리카노(HOT)', '카페라떼(HOT)', '도쿄아이스티 ICE']"
고마워케이크,케이크전문,999+,서울 구로구 디지털로 300 1층 야외광장 앞,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171207_101%2F1512578360799I15hP_JPEG%2FdeoLoD6dJHsZhlF07AkqhC_r.jpg,"['아메리카노', '로얄밀크티', '크림콜드브루', '말차라떼']"
에버애프터,"카페,디저트",999+,서울 구로구 새말로18길 36-10,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210601_128%2F1622522480773XfX9B_JPEG%2FdzpS4g-bEFYRplK8OkPMfS1H.jpg,"['플레인 크로플', '브라운치즈 크로플', '인절미 크로플', '아메리카노']"
상상빵집,베이커리,255,"서울 구로구 서해안로26길 7 1, 2층","['빵이 맛있어요', '커피가 맛있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230709_126%2F1688886173888tVpEO_JPEG%2F20230709_140731.jpg,"['아메리카노', '카페라떼', '카푸치노', '바닐라라떼']"
수밀 블랑제리,베이커리,792,서울 구로구 중앙로 100 1층 103호 수밀 블랑제리,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231117_8%2F1700160472941YDKRB_JPEG%2Fa157f291-84b0-11ee-b864-505dac8c37f3_03.jpg,"['치아바타 샌드위치', '100% 유기농 통밀 식빵(비건)', '100%호밀 깜파뉴', '명란 바게트']"
드립하우스 직영점,카페,105,서울 구로구 개봉로 54 2층 드립하우스 직영점,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230818_213%2F1692284699489vkikg_JPEG%2FKakaoTalk_20230817_231503776_06.jpg,"['크로핀(우유 크림)', '드립브런치', '수플레팬케이크(수요일만가능)', '그릴치킨브런치']"
히어로스터 본점,"카페,디저트",803,서울 구로구 경인로63길 21-8 1층 헤라시보리와 일성사이골목,"['커피가 맛있어요', '음료가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191010_6%2F1570699815433utNDf_JPEG%2Frxjyid63M5KsnwyMOYdUYAzM.jpg,"['카페라떼', '아메리카노', '헤이즐넛', '아인슈페너 (우유)']"
나인디,베이커리,55,서울 구로구 디지털로32가길 60 1층 102호,"['빵이 맛있어요', '매장이 청결해요', '가성비가 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230915_104%2F1694740549097D00Gn_JPEG%2FIMG_2094.jpeg,['크로와상']
읍천리382 구로구청점,카페,999+,"서울 구로구 가마산로 246 1층 101, 102호","['음료가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230105_26%2F1672887097067iQ96z_JPEG%2F1_%25B0%25A1%25B0%25D4_%25C0%25CC%25B9%25CC%25C1%25F6_%25281%2529.jpg,"['[판매율1위]미숫가루', '[공주의 자랑] 밤 라떼', '[할미큰손] 1L 아메리카노', '[샌드위치 정석] 햄치즈 샌드위치']"
유과탕후루 커피 앤 밀크티 구디점,카페,27,서울 구로구 디지털로32길 97-6 1층,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231005_188%2F1696494767160WkvuD_JPEG%2F1FEB0E15-0AAB-4F96-9EE0-A36C1EE6D7BE.jpeg,"['딸기 탕후루', '샤인머스켓 탕후루', '통귤 탕후루', '용과 탕후루']"
컨피덴셜,"카페,디저트",161,서울 구로구 개봉로2길 61 로뎀하우스 1층,"['커피가 맛있어요', '친절해요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230518_148%2F1684375867163XXKuJ_JPEG%2FIMG_0878.jpeg,"['에스프레소', '아메리카노', '모히또 에이드', '크림라떼']"
밀리,"카페,디저트",528,서울 구로구 새말로 62 1층밀리,"['커피가 맛있어요', '친절해요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220428_138%2F1651112518592iUIWN_JPEG%2FD7991004-FCD5-4FCF-AA0B-92B6A9393A96.jpeg,"['Soybean Croffle(인절미크로플)', 'Brunch Platter with Beverage', '카라멜크림라떼', '아이스크림 라떼']"
와드커피 구로점,"카페,디저트",459,서울 구로구 디지털로33길 27 삼성IT밸리 1층 106호,"['커피가 맛있어요', '가성비가 좋아요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230705_67%2F1688551120807WMAHi_JPEG%2FKakaoTalk_20230616_172241714.jpg,"['아이스크림츄', '롱츄러스', '스틱츄', '소금빵']"
이디야커피 고척사거리점,카페,999+,서울 구로구 고척로 228-6 1층,"['커피가 맛있어요', '음료가 맛있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231102_277%2F1698892786311vReTQ_JPEG%2FSNS%25B1%25E2%25C5%25B8_%25B3%25D7%25C0%25CC%25B9%25F6%25C3%25A4%25B3%25CE_%25BB%25EA%25B8%25AE%25BF%25C0%25BD%25C3%25C1%25F02%2528%25B8%25DE%25B4%25BA%2529.jpg,"['헬로키티 아이스콘 초코(1box)', '(R)HOT 쿠로미 데블 초콜릿', '(R)ICED 버블 블랙토피넛 라떼', '(R)ICED 쿠로미 데블 초콜릿']"
카페우물,"카페,디저트",900,서울 구로구 공원로6나길 5-6 1층,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200904_143%2F1599208114195bC6rH_JPEG%2FMqSlQjsO-MZyoJd1CmAyaPD4.jpg,"['크로플', '우물크림 라떼', '아메리카노', '에스프레소']"
