name,class,review_count,address,review_top3,background_image_url,cafe_menu
성수시루,떡카페,265,서울 성동구 성수일로8길 42 1층 103호,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220703_51%2F16568461321886DFXn_JPEG%2Fbeauty_20220703200036.jpg,"['시루케이크', '반반떡', '12곡 미숫가루', '꿀쌍화차']"
호말커피,"카페,디저트",630,서울 성동구 마조로 15-16 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20230625_161%2F16876654245789Cstk_JPEG%2F53b3784f-130c-11ee-bd02-a0369ffabd48_03.jpg,"['바닐라빈 에그타르트', '호말쿠키', '호말라떼', '디카페인 원두 선택가능']"
차일디쉬,"카페,디저트",597,서울 성동구 연무장길 114 2층 차일디쉬,"['디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231019_269%2F1697643108494dzKhG_JPEG%2FIMG_7504.jpeg,"['소금빵X붕어빵', '차일디쉬 코코아 컵', '대만식 생망고빙수', '잠봉뵈르 소금빵 샌드위치']"
자연도소금빵in 성수,베이커리,999+,서울 성동구 연무장길 56-1 1층,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_10%2F1692624841117gCCt1_JPEG%2FKakaoTalk_20230821_223246131.jpg,['자연도소금빵']
한정선,"카페,디저트",264,서울 성동구 연무장길 54-1 1층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230927_28%2F16957957408463Q00Y_JPEG%2FKakaoTalk_20230927_151917865_02.jpg,"['홍시 찹쌀떡', '생딸기 찹쌀떡', '골드키위 찹쌀떡', '통귤 찹쌀떡']"
츄로101 성수점,카페,142,서울 성동구 성덕정길 70 1층,"['디저트가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231006_247%2F1696595796425DnAza_JPEG%2F1000072113.jpg,"['커피&츄러스 세트', '아츄', '오레오 아츄', '인절미 아츄']"
하이라인,"카페,디저트",999+,서울 성동구 성덕정9길 10 2층 오른쪽문,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230330_113%2F1680149657968moJA0_JPEG%2F%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F82.jpg,"['하이라인라떼와 비스코티 세트', '하이라인 라떼', '초당옥수수 크림라떼', '쇼콜라 라바 케익']"
치즈인더스트리 성수,"카페,디저트",264,서울 성동구 성수이로18길 37 1층,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231107_210%2F1699350620957TFCRA_PNG%2FKakaoTalk_20231107_184801492_01.png,"['토마토 치이글', '트리플 치이글', '체다 치이글', '블루베리 치이글']"
모리노키세츠,"카페,디저트",94,서울 성동구 서울숲2길 11-16 2층,"['디저트가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231114_151%2F1699917626483l6C4O_JPEG%2Ftemp_file.jpg,"['스콘푸딩', '프렌치토스트', '말차 파르페', '크로캉부슈']"
베통 성수,"카페,디저트",999+,서울 성동구 연무장7가길 8,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231128_295%2F1701142372507SDziS_JPEG%2F1.jpg,"['아메리카노', '카페라떼', '바닐라빈라떼', '아인슈페너']"
니커버커베이글 성수점,베이커리,90,서울 성동구 뚝섬로13길 36 1층~3층,"['빵이 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231108_113%2F1699444428899o03yC_PNG%2FIMG_0392.png,"['록셔리(연어)샌드위치', '에브리띵', '시나몬레이즌', '허니바질크림치즈']"
오우드 성수1호점,"카페,디저트",999+,서울 성동구 연무장길 101-1,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201226_65%2F160894326428841uBj_JPEG%2FGxx7Nt5zVwKGvewQZLeuUk48.jpg,"['Pastry Bun', '소금빵', 'Cream Chocolate', 'Peanut Cream Latte']"
브레디포스트 성수,"카페,디저트",999+,서울 성동구 상원1길 5 1층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230427_222%2F1682583137425nH2I3_PNG%2F%25C7%25C1%25B7%25B9%25C3%25BF_%25BD%25E6%25B3%25D7%25C0%25CF.png,"['플레인 프레즐', '시나몬 프레즐', '버터페퍼 프레즐', '부추베이컨 프레즐']"
본지르르 성수,"카페,디저트",83,"서울 성동구 광나루로4가길 13 B1, 1, 2층","['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231104_243%2F1699067976293bHufr_JPEG%2FACBB9BFD-04A6-40F7-A4A8-8D9C0CF55D20.jpeg,['본지르르 머핀']
파머스카페,"카페,디저트",999+,서울 성동구 왕십리로6길 11 1층,"['음료가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220131_128%2F1643625442469Yp9k4_JPEG%2F8A8317DE-3DA2-4331-95CA-2508011405F6.jpeg,"['(테이크아웃) 벨지안 초콜릿 보틀', '아이스 아메리카노', '57% 아이스 초콜릿 우유', '57% 핫 초콜릿 우유']"
아쿠아산타 성수카페,"카페,디저트",999+,서울 성동구 연무장길 81 1층 107호,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230712_90%2F1689137796729n3zXn_JPEG%2F1688974199006.jpg,"['딸기슈페너', '프레지에(딸기)', '프레지에(망고)', '생크림조각케이크(딸기)']"
