name,class,review_count,address,review_top3,background_image_url,cafe_menu
히도커피,"카페,디저트",437,서울 성북구 창경궁로43길 27,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_171%2F1652767243074cyRkm_JPEG%2F18D9AD76-BE57-4B63-9606-65CB055E70EC.jpeg,['아메리카노']
베럴버터,"카페,디저트",53,서울 성북구 삼선교로24길 42 1층 102호,"['디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231109_256%2F1699497751803EUHGU_JPEG%2Fimage1-2.jpg,"['에그 타르트', '플레인 스콘', '카라멜 피칸 휘낭시에', '레몬 글라세 마들렌']"
카페 정이정,카페,560,서울 성북구 종암로 82-15 1층,"['커피가 맛있어요', '인테리어가 멋져요', '뷰가 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230922_232%2F1695344825141U9TOU_JPEG%2FB8BD956A-A058-4EE9-9D2A-2E3D11328497.jpeg,"['블랙라떼', '티라미수', '얼그레이 크림라떼', '아메리카노']"
오버스토리,카페,999+,서울 성북구 선잠로2다길 13-13 지하1층,"['뷰가 좋아요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200715_50%2F1594788206518EBN8S_PNG%2FJFjRnVQcPg6YVLUjsiOUCrJc.png,"['시그니처 바닐라 라떼', '말차딸기브라우니', '바나나쉐이크', '레몬에이드']"
뷔뷔에스 VVS 뮤지엄,"카페,디저트",451,서울 성북구 동소문로26길 9 1층,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231121_65%2F17005202486740cAQd_JPEG%2F494f927f-87f6-11ee-ba0a-48df379cc9e4_03.jpg,"['비너스크림라떼(ice)', '에그푸딩 스콘', '하구하구스콘(하늘이구름이스콘🐶)', '얼그레이케이크']"
뿡어당,"카페,디저트",887,서울 성북구 보문로34길 94 102호,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20230623_151%2F1687452944017uvzCj_JPEG%2F9e459c88-111d-11ee-bf11-b4055da5489b_03.jpg,"['콘치즈뿡어빵', '피자뿡어빵(1마리)', '크림치즈팥뿡어빵(1마리)', '바닐라슈붕어빵(1마리)']"
밀곳간,베이커리,999+,서울 성북구 성북로18길 19 1층,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170106_165%2F1483691342574v7eEe_PNG%2F186056575922_0.png,"['사워도우 브레드', '크리스트 슈톨렌', '시오빵', '펌퍼니클 Hall']"
나폴레옹과자점 본점,베이커리,999+,서울 성북구 성북로 7 나폴레옹과자점,"['빵이 맛있어요', '특별한 메뉴가 있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231120_78%2F1700476399030wRC6l_JPEG%2F%25C0%25DB%25C0%25BA_na_0669.jpg,"['고소한 맛 사라다빵', '구로칸토 슈니탱', '다크비쇼', '녹차롤 케이크']"
비나케이크,케이크전문,678,서울 성북구 보문로30길 12,"['디저트가 맛있어요', '선물하기 좋아요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201209_207%2F1607439893748phzUL_JPEG%2FI_vrqt7Q3csvblDX-1g7Pf1Q.JPG.jpg,"['딸기생크림케이크(1호)', '딸기 조각케이크', '블루베리생크림케이크', '블루베리 조각케이크']"
서울노마드,"카페,디저트",999+,서울 성북구 동소문로11길 5,"['인테리어가 멋져요', '디저트가 맛있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200928_24%2F1601280324586bq225_JPEG%2Fm24MfJnbIbVz4sJ7p3f2xmVp.jpeg.jpg,"['딸기크로플', '쿠키10구선물세트', '아메리카노', '서울라떼']"
안암필,"카페,디저트",69,서울 성북구 고려대로28길 17-3 102호,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231114_3%2F1699923766739jwGy7_JPEG%2FB31FC291-624C-4491-9E6C-4D80EE692ADA.jpeg,"['초코칩스콘', '말차스콘', '스트로베리잼스콘', '애플잼스콘']"
히도커피,"카페,디저트",437,서울 성북구 창경궁로43길 27,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_171%2F1652767243074cyRkm_JPEG%2F18D9AD76-BE57-4B63-9606-65CB055E70EC.jpeg,['아메리카노']
뮈에,카페,999+,서울 성북구 돌곶이로 205 1층,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190822_153%2F1566444235916uTnyI_JPEG%2FUjjhSDkBVthbkST6ZGgXPeSE.jpg,"['프렌치크루아상', '바닐라빈크림라떼']"
성북동빵공장,베이커리,999+,서울 성북구 대사관로 40 B동,"['빵이 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210923_254%2F16323947757418O8JI_JPEG%2FU4G9WrjtwBmkCwsMDgxyaLRg.jpg,"['자두얼그레이에이드', '성북동식빵', '코스타리카 라스라하스', '과테말라 엘 소코로']"
카페 기쁜소식 cafe kiso,"카페,디저트",388,서울 성북구 종암로10길 26 1층,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230704_271%2F1688415605187KNyhe_JPEG%2FIMG_6997.jpeg,"['후르츠산도', '라떼 기소', '러브 토스트', '매실에이드']"
샘케이크,케이크전문,115,서울 성북구 정릉로34길 11 1층 샘케이크,"['디저트가 맛있어요', '친절해요', '선물하기 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_251%2F1696864927909C6A4S_JPEG%2FKakaoTalk_20230828_190635704.jpg,"['숫자케이크', '반전케이크', '미니케이크', '수제밀크티']"
수연산방,차,999+,서울 성북구 성북로26길 8,"['차가 맛있어요', '뷰가 좋아요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230927_1%2F1695746157309Eplwe_JPEG%2F%25B4%25EB%25C3%25DF%25C2%25F723.jpg,"['대추차', '계절에따라 메뉴가 달라집니다.']"
세린,"카페,디저트",41,서울 성북구 장월로 119 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230915_87%2F1694765585289VNzoU_JPEG%2FIMG_9741.jpeg,"['바닐라빈 라떼', '라떼', '바질토마토 에이드', '얼그레이 자몽티']"
카페 시와,"카페,디저트",380,서울 성북구 동소문로23길 40-1,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210523_150%2F1621738635683aR0pm_JPEG%2FnU9dWZP03aAgLjfP69B5R4W5.jpeg.jpg,"['브루잉 커피', '오픈샌드위치', '에이드']"
어나더굿뉴스,카페,31,서울 성북구 정릉로36길 61 1층,"['인테리어가 멋져요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231123_246%2F1700720335269DTRkw_JPEG%2FIMG_1489.jpeg,['아메리카노']
유목커피바,"카페,디저트",999+,서울 성북구 동소문로24길 47,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200608_104%2F15916124669144zzXP_JPEG%2F_SjBr7JdgbBL2GQjyKJoF00Q.JPG.jpg,"['Banana pudding 바나나푸딩', 'Banana Cake(바나나 케이크)', 'Chocolate pudding', 'Espresso(에스프레소)']"
디어브레드 고대점,베이커리,999+,서울 성북구 개운사1길 29,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160225_18%2F1456377187853MML24_JPEG%2F176175544327107_0.jpg,"['크렌베리바게트', '치즈치아바타', '무화과 호밀빵', '호밀100%빵']"
러스틱 오스테리아,와인,14,서울 성북구 성북로15길 21 1층,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230917_52%2F1694939579450NiH88_JPEG%2F20230913_164955.jpg,"['에스프레소', '아메리카노', '카페라떼', '바닐라라떼']"
하다디저트카페,"카페,디저트",233,서울 성북구 고려대로 40 1층,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230707_175%2F1688720218824iu7TB_JPEG%2F%25C3%25DD%25B9%25D9%25C7%25AA_%25BC%25F6%25C1%25A42.jpg,"['솔티초코가나슈쿠키', '고구마라떼', '초코가나숲쿠키', '쵸바푸딩파이']"
카페 헤더그로브,"카페,디저트",28,서울 성북구 동소문로24길 45 1층,"['친절해요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231127_228%2F17010574625789Dhjv_JPEG%2FKakaoTalk_20231119_150411449_18.jpg,"['헤더 파블로바GF', '올리브 초콜릿무스GF']"
더미아,"카페,디저트",65,"서울 성북구 동소문로26다길 26 1층 103, 104호 THE MIA","['디저트가 맛있어요', '친절해요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231108_57%2F1699433440076B56Jz_JPEG%2FIMG_9180.jpeg,"['미드나잇 크레이빙 보틀케이크', 'Dear Melobourne', '아이엠 고구마', '쑥덕쑥덕 쿠키 ( 핫 셀럽 )']"
해로커피,카페,999+,서울 성북구 성북로 19-3,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231119_177%2F17003907672292oP3M_JPEG%2F6C900F1E-A166-4A56-BA5C-846B0E235B8B.jpeg,"['드립커피', '아인슈페너', '아메리카노', '카페라떼']"
