name,class,review_count,address,review_top3,background_image_url,cafe_menu
빌라앰버시,"카페,디저트",332,서울 용산구 만리재로 198 1층,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220610_232%2F1654847314344jxTkS_JPEG%2F1943734D-013E-45C4-BE23-37555175316E.jpeg,"['오리지널 티라미수', '서울라떼', '초코스콘', '얼그레이스콘']"
베브릿지 숙명여대점,카페,501,서울 용산구 청파로47길 48 1층,"['음료가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231027_211%2F1698398627137KVv1r_JPEG%2F%25BD%25BA%25B9%25AB%25B5%25F0%25BA%25BC_%25C0%25CC%25B9%25CC%25C1%25F6%25C4%25C6_1.,"['사과&바나나 통밀 그릭 토스트 샌드위치', '플레인 통밀 그릭 토스트 샌드위치', '연어 그릭 베이글 샌드위치', '닭가슴햄 통밀 그릭토스트 샌드위치']"
테디뵈르하우스 용산점,"카페,디저트",999+,서울 용산구 한강대로40가길 42 1층,"['디저트가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230626_41%2F16877746377022BvlG_JPEG%2F20230620_184022_014.jpg,"['Beurre croissant', 'Donut 크룽지', 'Choco 크룽지', 'Pudding Croissant']"
디어올리브,베이커리,56,서울 용산구 한강대로52길 25-8 지1층 101호,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231103_189%2F1698976722763AkdV9_PNG%2FKakaoTalk_20231031_133332333.png,"['디어올리브', '오키나와브레드', '샤워도우', '통밀씨앗식빵']"
용산애빵,베이커리,67,서울 용산구 청파로 271 1층,"['빵이 맛있어요', '친절해요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231025_210%2F1698209529385DO9RI_JPEG%2FIMG_2400.jpeg,"['용산애빵 오리지널', '용산애빵 밀크티', '용산애빵 통팥호두', '용산애빵 커스타드']"
키에리,케이크전문,999+,서울 용산구 이태원로26길 16-8,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230804_265%2F16910815895622P9qN_JPEG%2F20230606_142317.jpg,"['아메리카노', '카페라떼/카페모카/카라멜마끼아또/두유라떼', '콘크럼블치즈케이크', '뽕베리레이어드치즈케이크']"
홍철책빵,베이커리,999+,서울 용산구 한강대로102길 57 홍철책빵,"['인테리어가 멋져요', '빵이 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230114_250%2F1673661142125BH8X7_JPEG%2F1C2B5B5A-FC7F-4198-AA12-E50932F91428.jpeg,"['우유식빵', '감자 스프', '통밀 비스퀵', '소금빵']"
브레디포스트 용산,"카페,디저트",999+,서울 용산구 한강대로44길 6 2층,"['특별한 메뉴가 있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230331_166%2F1680239944959iDdJS_PNG%2F%25BA%25A3%25C0%25CC%25C4%25BF%25B8%25AE_%25BD%25E6%25B3%25D7%25C0%25CF.png,"['플레인 프레즐', '시나몬 프레즐', '코코넛카야 프레즐', '더티초코 프레즐']"
에그쉘 용산본점,"카페,디저트",626,서울 용산구 소월로40길 45 B1층,"['친절해요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230616_124%2F1686883433630qbrr5_JPEG%2F1.jpg,"['에그타르트', '고구마 에그타르트', '장미 포토존 💕']"
더베이커스테이블,베이커리,999+,서울 용산구 녹사평대로 244-1,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200213_56%2F1581555056142HsnSm_JPEG%2FG6vvseyUtl6vQ1rAe5VOx5fv.jpg,"['daily soup', 'chicken provolone panini', 'the farmer', 'the German']"
