name,class,review_count,address,review_top3,background_image_url,cafe_menu
지공스터디카페 은평신사점,스터디카페,57,서울 은평구 갈현로 24 3층,"['집중하기 좋아요', '차분한 분위기에요', '요금제가 잘 되어있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220121_171%2F1642739264223ecO6s_PNG%2F2.png,"['100시간권(20%할인)', '4주기간권', '1인 고정석']"
쿠스꾸양과자점,"카페,디저트",166,서울 은평구 진흥로7길 26 1층,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_214%2F1692581504601GkPoc_JPEG%2FIMG_20230821_100458_754.jpg,"['바닐라후르츠케이크', '무화과타르트', '무화과 프레지에', '피스타치오 바닐라 무화과 케이크']"
연서의 정원,"카페,디저트",628,서울 은평구 연서로 253-7 연서의 정원,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230719_174%2F1689737968167le6XA_JPEG%2FIMG_3222.jpeg,"['크렘 브륄레 라떼', '크렘 브륄레 아인슈페너', '메론 소다', '블랙 레몬 에이드']"
스타벅스 더북한산점,카페,999+,서울 은평구 대서문길 24-11,"['뷰가 좋아요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,"['토피 넛 라떼', '스타벅스 딸기 라떼', '크리스마스 루비 뱅쇼', '홀리데이 캘린더 초콜릿']"
1인1잔,"카페,디저트",999+,서울 은평구 연서로 534,"['뷰가 좋아요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200110_221%2F1578635866995dgAsu_JPEG%2FzyTz0o3esSKO4caQJB9O0TUm.jpeg.jpg,"['오늘의 베이커리', '오늘의 차', '아메리카노', '에스프레소']"
노먼데이,"카페,디저트",56,서울 은평구 응암로25길 22 1층 노먼데이,"['디저트가 맛있어요', '친절해요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230911_52%2F1694429172769h1nlP_JPEG%2FIMG_0824.jpeg,"['고메버터', '더블초코', '피스타치오', '아메리카노']"
YM COFFEE HOUSE,카페,999+,서울 은평구 연서로29길 21-8 1층,"['커피가 맛있어요', '친절해요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220801_128%2F1659334114356Al0eB_JPEG%2FCFE3F46E-B933-4A0B-8496-00BFA39F2447.jpeg,"['핸드드립 커피', '사이폰 커피', '비엔나(hot)', '비엔나(ice)']"
YM ESPRESSO ROOM,"카페,디저트",999+,서울 은평구 진관3로 43-9 래미안 909동 1층 상가 101호,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230808_65%2F1691462823518ATIYv_JPEG%2FYM_01481.jpeg,"['에스프레소', '아메리카노', '카페 라떼', '플랫 화이트']"
파보리또 제과,"카페,디저트",99,서울 은평구 통일로83길 18 1층,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231125_52%2F170089788988784n3x_JPEG%2F92c9caee-8b65-11ee-ab5a-505dac8c35ff_03.jpg,"['[시그니처]바닐라 럼 까눌레', '[시그니처]유자 코리앤더 마들렌', '[best]소금 휘낭시에', '[best]무화과 크림치즈 휘낭시에']"
라이언베이커 신사점,"카페,디저트",999+,서울 은평구 증산로17길 22-1 1F,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220803_242%2F1659521206019Tbije_JPEG%2F%25B6%25F3%25C0%25CC%25BE%25F0-%25BA%25A3%25C0%25CC%25C4%25BF-%25BF%25DC%25B0%25FC.jpg,"['소금빵', '크라이스프레첼', '올리브 치아바타', '라이언뵈르']"
