name,class,review_count,address,review_top3,background_image_url,cafe_menu
빈마마파파,"카페,디저트",128,서울 종로구 종로39길 11 1층 빈마마파파 카페,"['커피가 맛있어요', '친절해요', '가성비가 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231114_153%2F1699968034331zy4eH_JPEG%2F20231114_221645.jpg,"['(핫) 연유라떼', '아메리카노 기본', '수제 레몬청티', '유자차']"
에이라운드,카페,472,"서울 종로구 창경궁로 263 1, 2층","['커피가 맛있어요', '인테리어가 멋져요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230328_93%2F1679996645218HDx2b_JPEG%2F5.jpg,"['COFFEE', 'FILTER COFFEE', 'NON-COFFEE', 'TEA']"
풍류,"카페,디저트",999+,서울 종로구 필운대로5나길 20-12 1층 풍류,"['인테리어가 멋져요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231104_173%2F1699072840036WLF6I_JPEG%2Ftemp_file.jpg,"['무명', '녹음', '만추', '월광']"
아베베베이커리 서울,베이커리,999+,"서울 종로구 청계천로 201 1, 2, 3층","['빵이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230609_125%2F1686270000125shD76_JPEG%2FKakaoTalk_20230608_112858657_01.jpg,"['조천 오메기 품은 단팥빵', '우도 땅콩 크림 도너츠', '산방산 고구마 크림 도너츠', '사려니 크림 왕밤빵']"
안녕브릭샌드 인사동점,"카페,디저트",511,서울 종로구 인사동길 49 안녕인사동 1층,"['디저트가 맛있어요', '커피가 맛있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_60%2F1695215028672XuJTc_JPEG%2F1695212625872.jpg,"['호랑브릭', '아메리카노', '5개입 추천세트', '기본브릭']"
서촌스코프,"카페,디저트",999+,서울 종로구 필운대로5가길 31 1층 SCOFF,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220904_150%2F1662264363923TtdKS_JPEG%2FKakaoTalk_20220618_105658247_03.jpg,"['브라우니', '레몬케이크', '얼그레이스콘', '버터스콘']"
스태픽스,"카페,디저트",999+,서울 종로구 사직로9길 22 102호,"['뷰가 좋아요', '커피가 맛있어요', '사진이 잘 나와요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190702_92%2F1561999900363HPzAy_JPEG%2F44JCdXJ3a1r1e7joos15XmSs.jpg,"['에스프레소', '아메리카노', '아인슈페너', '카페라떼']"
메종오버트서울,"카페,디저트",179,"서울 종로구 필운대로5나길 2 B1, 1, 2층","['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_187%2F1692570039916qecz1_JPEG%2FC98AD842-7D32-4D93-AE86-CD5AD476F4C6.jpeg,"['초코롤아이스크림', '카페라떼', '아메리카노']"
여운,"카페,디저트",108,서울 종로구 대명1길 16-7 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230910_118%2F1694323117505Ktg81_JPEG%2FIMG_9072.jpeg,"['여운 슈패너', 'SH 치즈케이크', '녹차 앙스콘', '비스켓 케이크']"
H라운지,브런치,999+,서울 종로구 자하문로4길 21-9,"['음식이 맛있어요', '인테리어가 멋져요', '매장이 넓어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230718_96%2F1689669499069LRQAa_JPEG%2F1.jpg,"['프로슈토 SET', '슈림프 SET', '우삼겹 샐러드', '유자 토마토 부라타']"
