name,class,review_count,address,review_top3,background_image_url,cafe_menu
루엘 드 샹들리에,와인,999+,서울 중구 충무로5길 28 2층,"['인테리어가 멋져요', '음식이 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231006_51%2F1696528547469l5JMn_JPEG%2FKakaoTalk_20231006_025112455_03.jpg,"['제주 흑돼지 가츠산도_시그니처', '토마토 바질 크림파스타', '크루아상 티라미수', '초코 파르페']"
카페도프,"카페,디저트",137,서울 중구 동호로 376 1층,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230608_188%2F1686192022130b80gh_JPEG%2FA375B5A4-BB33-4B87-A3DC-97046CBEE946.jpeg,"['눈꽃빙수', '망고빙수', '아메리카노', '카페라떼']"
콘티뉴이티,카페,180,서울 중구 수표로 30 OK빌딩 3층,"['인테리어가 멋져요', '커피가 맛있어요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231120_116%2F1700466744734YT2no_JPEG%2F%25BB%25EA%25C5%25B8.jpg,"['아빠는 산타였다.', '이달의 커피이야기(핸드드립)', '흰바위', '우리할머니(Non coffee)']"
더 스팟 패뷸러스,"카페,디저트",999+,서울 중구 명동2길 22 1.2층,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200117_10%2F1579266380177M2JLY_JPEG%2FkCWopnX-fm4IDubRsf0g9Goa.jpg,"['마카롱', '티라미수 / 치즈케이크 / 프랑스 구움과자', '시그니처 커피&드링크', '아메리카노']"
몰또 이탈리안 에스프레소바,"카페,디저트",999+,서울 중구 명동길 73 3층,"['뷰가 좋아요', '커피가 맛있어요', '사진이 잘 나와요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220902_198%2F1662093137417QKWC8_JPEG%2FCDF8DB12-910C-4162-828C-CBFC09779A50.,"['카페 살레', '브루스게따', '생과일주스', '카페 에스프레소']"
터틀힙 롯데백화점 본점,케이크전문,376,서울 중구 남대문로 81 지하1층 식품관,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231006_53%2F1696561127624LlEfR_JPEG%2FIMG_3384.jpeg,"['데일리', '해플', '블러썸', '벚꽃']"
맷차,"카페,디저트",999+,서울 중구 명동9길 17,"['음료가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210703_86%2F1625294381265rmjRH_JPEG%2FAzbLcvRQleRtqqYiSqYarKfU.jpg,"['맷돌커피', '맷돌밀크티', '맷차 말차 음료', '맷차 크림라떼']"
덕수궁 리에제와플,와플,999+,서울 중구 덕수궁길 5,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230112_136%2F1673515087055ddMxl_JPEG%2FKakaoTalk_20221214_173635949.jpg,"['와플플레인', '와플메이플', '와플블루베리크림치즈', '와플크림치즈']"
공간갑,"카페,디저트",999+,"서울 중구 수표로 48-8 1, 2층","['디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210820_184%2F1629432280312yxh2Q_JPEG%2FUuWYISVR47gu08_pqiflKOPd.jpg,"['Vanille custard 푸딩빙수', '푸딩 티라미수 플레이트', 'kaymak scone set', 'Mint choco basque']"
태극당,베이커리,999+,서울 중구 동호로24길 7,"['빵이 맛있어요', '특별한 메뉴가 있어요', '매장이 청결해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181001_77%2F15383625329852LvJ2_JPEG%2F1fCHGqJnOrwqeLp_4t8VhXzR.jpg,"['태극당 모나카', '버터케익 1호', '태극당 찹쌀 모나카', '야채 사라다']"
어반플랜트 명동,"카페,디저트",999+,서울 중구 명동8나길 38 1층,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230107_188%2F16730930554672OMDn_JPEG%2FIMG_3118.jpeg,"['에스프레소', '아메리카노', '카페라떼', '레몬에이드']"
빠우 을지로점,도넛,999+,서울 중구 을지로 157 대림상가 3층 라열 361호,"['디저트가 맛있어요', '가성비가 좋아요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190827_40%2F1566917491577LRf79_JPEG%2FGSIgZ9VTK9Upglh7jTc2yJGt.jpg,"['빠우도나스', '도나스박스', '치즈쭈~욱', '호두단팥']"
서울신라호텔 패스트리부티크,베이커리,999+,서울 중구 동호로 249,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190718_247%2F1563442772684t0B39_JPEG%2FfQZZ5ilqputQF-xhpI5ZsDck.jpg,"['생크림 케이크', '바닐라 밀푀유']"
에프오커피,"카페,디저트",124,서울 중구 다산로38길 12 1층,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231126_210%2F17009926332974pEph_JPEG%2FIMG_6896.jpeg,"['F5 Breeze', 'F5 Wave', 'F5 Island', 'espresso']"
을지로 베로나,"카페,디저트",999+,서울 중구 충무로5길 24 3층,"['인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231108_233%2F1699415152307HEBNX_JPEG%2F3aca6a7e-7de9-11ee-95cd-a0369ffbf8a4_03.jpg,"['화이트 뱅쇼', '밤 몽블랑 크로플', '자색 몽블랑 크로플', 'new! 퍼플']"
롯데호텔서울 델리카한스,베이커리,999+,서울 중구 을지로 30,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231122_82%2F1700620701897jLUE5_JPEG%2F20210330_lotte_hotel_world_23979_F.jpg,['초코 토르테']
적당,"카페,디저트",999+,서울 중구 을지로 29 1층 후문,"['디저트가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201019_228%2F1603100755717ypKxm_JPEG%2FohPIBqMP4dWi0I9RF_LrYo9r.jpeg.jpg,"['아메리카노', '팥라떼', '밤양갱', '모나카']"
커피앤시가렛,카페,999+,서울 중구 서소문로 116 유원빌딩17층 1706호,['리뷰 참여자가 10명이 되지 않습니다.'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210928_37%2F1632796888350ajTMh_JPEG%2FCHo553O8_yHWf2c4dG7Kd-hz.jpeg.jpg,"['에스프레소/아메리카노', '카페라떼/카푸치노', '솔트 스카치 라떼', '시그니처 비엔나']"
커피한약방,카페,999+,서울 중구 삼일대로12길 16-6,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230122_36%2F1674315081239Xmpdy_JPEG%2FDSC03967.jpg,"['필터커피', '필터 스페셜', '카페라떼', '카푸치노']"
크림시크,"카페,디저트",999+,서울 중구 명동7길 13 1층 크림시크,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220409_193%2F1649484661893UK42G_JPEG%2F01789650-51D8-40F6-9787-C31E11BE75A5.jpeg,"['아메리카노', '아인슈페너', '카페라떼', '플랫화이트']"
분카샤 을지로점,"카페,디저트",999+,서울 중구 을지로14길 20 호성P&P 2층,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170706_204%2F1499312703010IvNLX_JPEG%2F186655545575920_0.jpeg,"['아메리카노', '카페라떼', '플랫화이트', '비엔나커피']"
