name,class,review_count,address,review_top3,background_image_url,cafe_menu
카페1221,"카페,디저트",246,서울 중랑구 봉화산로27나길 16 1층,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220611_73%2F1654928507191UdXn8_JPEG%2F20220611_132345.jpg,"['크림라떼', '수제레몬에이드', '블루베리요거트스무디', '아메리카노']"
설빙 서울사가정역점,빙수,92,서울 중랑구 사가정로51길 38 2층,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230913_173%2F1694581765283XTWlv_JPEG%2FKakaoTalk_20230913_111315175_05.jpg,['애플망고 치즈설빙']
카페브릭,"카페,디저트",999+,서울 중랑구 신내역로1길 127-11,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211106_70%2F1636161182037fyUdf_JPEG%2F9CBEfjbAOFhYuGGVL84DrEBU.jpg,"['그릴 클럽 샌드위치', '아인슈페너', '아메리카노', '햄치즈 치아바타 샌드위치']"
허밍버드,"카페,디저트",538,서울 중랑구 상봉중앙로1가길 1-10 1층,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210826_28%2F16299472899880GmkX_JPEG%2FH4aWppb9EPBZsu0xJr6m6yzC.jpeg.jpg,"['에그타르트', '소금빵 (2개)', '블루베리 크림치즈 파이', '애플파이']"
디오리진,"카페,디저트",456,서울 중랑구 망우로32길 7 1층,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231126_205%2F1701001610897Amvo1_JPEG%2F2024-%25BD%25C3%25C1%25F04.jpg,"['에그타르트', '시그니처 딸기 생크림 케이크', '브라질 레드버번', '케냐AA 마사이']"
개인공간 망우역점,"카페,디저트",590,서울 중랑구 송림길 12 1층 카페 개인공간,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230131_4%2F1675147361581xOpCP_JPEG%2FFBF2292F-7625-4867-AFA7-1A9CBA2FF579.jpeg,"['딸기치즈타르트', '아메리카노']"
카페이포크,"카페,디저트",621,서울 중랑구 면목로51길 23 1층,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230618_54%2F1687056463095PcX8v_JPEG%2FIMG_6286.jpeg,"['[패스오더전용] 100원 아메리카노', '얼그레이 크럼블 갸또', '단호박 크럼블 갸또', '아이스크림라떼']"
세훈,베이커리,289,서울 중랑구 망우로 376 SEHUN,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231108_163%2F1699369686749rnSR3_JPEG%2F33E0E38A-1A8A-4293-BDB6-98292220E23A.jpeg,"['마카롱', '휘낭시에', '까눌레', '레몬 마들렌']"
어피펄 상봉점,"카페,디저트",401,서울 중랑구 상봉중앙로1다길 51 1층 101호,"['커피가 맛있어요', '친절해요', '인테리어가 멋져요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230517_230%2F1684311181284GGJcN_JPEG%2Fapeoper_logo-01.jpg,"['뉴욕 치즈케이크 4개입', '뉴욕 치즈케이크 8개입']"
제주동화,"카페,디저트",525,서울 중랑구 면목로 476 3층 302호,"['인테리어가 멋져요', '사진이 잘 나와요', '디저트가 맛있어요']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231125_131%2F1700891840015pt84k_JPEG%2F48AE0022-56CA-4C27-975D-7BE4F3C48823.jpeg,"['3단브런치세트+음료2잔', '빨간 뇨끼', '털실케이크', '크림 뇨끼']"
